"simulation","quantity","year","value"
1,"SSB",1964,710.906525239673
1,"SSB",1965,641.090634735942
1,"SSB",1966,666.93038677379
1,"SSB",1967,793.232875017668
1,"SSB",1968,936.569171790283
1,"SSB",1969,1113.03532732016
1,"SSB",1970,1220.37681634826
1,"SSB",1971,1357.75874145603
1,"SSB",1972,1321.65530267207
1,"SSB",1973,1288.85244900227
1,"SSB",1974,1177.45166338582
1,"SSB",1975,1177.38193366911
1,"SSB",1976,1081.96480125902
1,"SSB",1977,1241.852789551
1,"SSB",1978,1050.30961506665
1,"SSB",1979,893.893790207033
1,"SSB",1980,1036.80539199304
1,"SSB",1981,1654.38788414985
1,"SSB",1982,2307.77376126139
1,"SSB",1983,3045.66400576496
1,"SSB",1984,3143.06677979665
1,"SSB",1985,3582.93217485981
1,"SSB",1986,3475.69846850381
1,"SSB",1987,3558.31270130915
1,"SSB",1988,3421.13865557898
1,"SSB",1989,2985.21014868858
1,"SSB",1990,2522.18550177283
1,"SSB",1991,1967.67054147469
1,"SSB",1992,1912.3806617421
1,"SSB",1993,2631.75441176104
1,"SSB",1994,3056.44224343641
1,"SSB",1995,3251.21141228551
1,"SSB",1996,3183.92860761041
1,"SSB",1997,3053.95108082791
1,"SSB",1998,2571.16090024613
1,"SSB",1999,2690.07757823527
1,"SSB",2000,2582.53723885472
1,"SSB",2001,2609.34214745581
1,"SSB",2002,2434.08616659148
1,"SSB",2003,2498.34155285529
1,"SSB",2004,2818.4629774117
1,"SSB",2005,2501.23886935013
1,"SSB",2006,2300.71238534133
1,"SSB",2007,1883.81664647017
1,"SSB",2008,1371.95011795282
1,"SSB",2009,1450.54871952809
1,"SSB",2010,1513.57788337592
1,"SSB",2011,1874.84686754108
1,"SSB",2012,2297.68456505625
1,"SSB",2013,2621.77590047178
1,"SSB",2014,2584.74301553486
1,"SSB",2015,2441.15969070071
1,"SSB",2016,2717.24538251136
1,"SSB",2017,3139.93602532219
1,"SSB",2018,2961.78072601375
1,"SSB",2019,2857.28014780144
1,"SSB",2020,2178.1638854678
1,"SSB",2021,2500.62805494765
1,"SSB",2022,3577.59929313297
1,"SSB",2023,3601.24418254647
1,"SSB",2024,3804.32655003372
1,"recruitment",1964,9509.85751360794
1,"recruitment",1965,15001.9167576573
1,"recruitment",1966,15706.8381430516
1,"recruitment",1967,21583.1525160973
1,"recruitment",1968,21726.6071597517
1,"recruitment",1969,26810.1392699072
1,"recruitment",1970,21426.6136817921
1,"recruitment",1971,28492.9284151588
1,"recruitment",1972,14055.7419567138
1,"recruitment",1973,22876.7848691069
1,"recruitment",1974,17562.7937698434
1,"recruitment",1975,16594.7547559753
1,"recruitment",1976,9287.88081394226
1,"recruitment",1977,12849.1187884621
1,"recruitment",1978,28576.898991035
1,"recruitment",1979,53014.2341829727
1,"recruitment",1980,26648.1437646609
1,"recruitment",1981,28303.9199458335
