"simulation","year","age","value"
1,1964,3,0.576652962610961
1,1965,3,0.654346497903107
1,1966,3,0.734586133612024
1,1967,3,0.837294363038877
1,1968,3,0.794572066648044
1,1969,3,0.795723233938983
1,1970,3,0.838625859733717
1,1971,3,0.870313714699388
1,1972,3,0.87388193670431
1,1973,3,0.890566974932383
1,1974,3,0.989741818244791
1,1975,3,1.09289053910968
1,1976,3,1.20644324944306
1,1977,3,0.951291426557175
1,1978,3,0.702022125443651
1,1979,3,0.578277068566902
1,1980,3,0.310365400608734
1,1981,3,0.234910372077
1,1982,3,0.200623354878472
1,1983,3,0.221086868357772
1,1984,3,0.228914322807853
1,1985,3,0.243429448590546
1,1986,3,0.225028388769572
1,1987,3,0.250727455076391
1,1988,3,0.268470651983115
1,1989,3,0.207547059045007
1,1990,3,0.15423117261748
1,1991,3,0.122544552034936
1,1992,3,0.140532147459438
1,1993,3,0.150294188373678
1,1994,3,0.0746692687220487
1,1995,3,0.064447125051268
1,1996,3,0.0508203890973598
1,1997,3,0.0866176422788156
1,1998,3,0.113081636256885
1,1999,3,0.233266453511573
1,2000,3,0.161583736238376
1,2001,3,0.119967567384699
1,2002,3,0.12469208677159
1,2003,3,0.177777957245257
1,2004,3,0.122460054680636
1,2005,3,0.09958580245741
1,2006,3,0.175678253483968
1,2007,3,0.190173793480726
1,2008,3,0.0996224968640252
1,2009,3,0.0939868649496971
1,2010,3,0.0748654269298566
1,2011,3,0.0431411140765884
1,2012,3,0.0631375239822765
1,2013,3,0.0738215695125139
1,2014,3,0.0897940373659325
1,2015,3,0.224007063161722
1,2016,3,0.064492530028759
1,2017,3,0.0457749865543299
1,2018,3,0.0466550819593976
1,2019,3,0.0646379732073997
1,2020,3,0.150274990413379
1,2021,3,0.291991934698717
1,2022,3,0.306999265531889
1,2023,3,0.27395975044602
1,2024,3,0.27871937807217
1,1964,4,1.70963449292518
1,1965,4,1.86851675000625
1,1966,4,2.01338913985611
1,1967,4,2.17562924543165
1,1968,4,2.06472055257222
1,1969,4,1.7532678725971
1,1970,4,1.37444667423082
1,1971,4,1.12922737660881
1,1972,4,1.18815781311411
1,1973,4,1.20461424678473
1,1974,4,1.16459241567372
1,1975,4,1.13577300557859
1,1976,4,0.961671165503291
1,1977,4,0.871060039270468
1,1978,4,0.728833824457303
1,1979,4,0.655135637202349
1,1980,4,0.541975282466141
1,1981,4,0.527494725194768
1,1982,4,0.469005913836351
1,1983,4,0.597596377765469
1,1984,4,0.597323298113548
1,1985,4,0.56851173760341
1,1986,4,0.566542425174052
1,1987,4,0.612542033758228
1,1988,4,0.708952223954631
1,1989,4,0.675216007642946
1,1990,4,0.564621371654924
1,1991,4,0.421313648738125
1,1992,4,0.310418614963181
1,1993,4,0.601335024071261
1,1994,4,0.401823683159785
1,1995,4,0.203262113364596
1,1996,4,0.0935330176715971
1,1997,4,0.172712702337213
1,1998,4,0.278110622942105
1,1999,4,0.396046577384881
1,2000,4,0.501439656118485
1,2001,4,0.408665695448286
1,2002,4,0.333104147286692
1,2003,4,0.414047886433937
1,2004,4,0.793248037421535
1,2005,4,0.529891963961953
1,2006,4,0.539572714596187
1,2007,4,0.494463038786638
1,2008,4,0.397147435529604
1,2009,4,0.428730622318546
1,2010,4,0.588983092008552
1,2011,4,0.210443128133589
1,2012,4,0.360746392121869
1,2013,4,0.356390507706058
1,2014,4,0.330237541057138
1,2015,4,0.457048230084689
1,2016,4,1.04338339967922
1,2017,4,0.351272429857978
1,2018,4,0.225346778740642
1,2019,4,0.190509339328725
1,2020,4,0.278394535443911
1,2021,4,0.361546326840153
1,2022,4,0.598913617949327
1,2023,4,0.665884396892994
1,2024,4,0.683419635575045
1,1964,5,3.48883302080198
1,1965,5,3.53738253887129
1,1966,5,3.4395673218828
1,1967,5,2.86523651931476
1,1968,5,2.30321849106557
1,1969,5,1.98891723438416
1,1970,5,1.68662193825409
1,1971,5,1.62242454887615
1,1972,5,1.70294554728885
1,1973,5,1.67913824092864
1,1974,5,1.44243326538443
1,1975,5,1.33687188475642
1,1976,5,1.22079532570675
1,1977,5,1.22756446799021
1,1978,5,0.987101784584297
1,1979,5,1.07989389309198
1,1980,5,1.37050513441942
1,1981,5,1.37154104987664
1,1982,5,1.27481458856193
1,1983,5,1.10163343420365
1,1984,5,1.03319054720922
1,1985,5,0.820068298225951
1,1986,5,0.838969202291168
1,1987,5,0.743425320276027
1,1988,5,0.712108773811627
1,1989,5,0.72914488283055
1,1990,5,0.75738466873284
1,1991,5,0.609143712471662
1,1992,5,0.656970763995966
1,1993,5,0.660205208103894
1,1994,5,1.49549966924371
1,1995,5,0.786461426142765
1,1996,5,0.536537263446465
1,1997,5,0.472055563496543
1,1998,5,0.720555393204049
1,1999,5,0.641565389963807
1,2000,5,0.892238546500117
1,2001,5,1.11896840506131
1,2002,5,0.942022522577999
1,2003,5,0.887748755580123
1,2004,5,0.9614109244036
1,2005,5,1.25683271240368
1,2006,5,1.10147206249071
1,2007,5,0.962576923371133
1,2008,5,0.828447055387341
1,2009,5,1.05209017417437
1,2010,5,0.878195611109746
1,2011,5,1.0197704637787
1,2012,5,0.581149634938706
1,2013,5,0.69371954605492
1,2014,5,0.688100217428759
1,2015,5,0.63725764661608
1,2016,5,0.812481235635793
1,2017,5,1.27259788476896
1,2018,5,1.41702072896257
1,2019,5,0.417871533393134
1,2020,5,0.573247986760499
1,2021,5,0.574522918451437
1,2022,5,0.848260330533626
1,2023,5,1.15865402328829
1,2024,5,1.18295207445191
1,1964,6,1.04955406009627
1,1965,6,0.942447653419594
1,1966,6,0.87738275877459
1,1967,6,0.810623641698359
1,1968,6,0.778734905839275
1,1969,6,0.765718009778355
1,1970,6,0.772298230063625
1,1971,6,0.784906930177276
1,1972,6,0.857166084493944
1,1973,6,0.891733548948686
1,1974,6,0.811129833564486
1,1975,6,0.742296089137728
1,1976,6,0.723776099996928
1,1977,6,0.808302070319058
1,1978,6,0.87243939160061
1,1979,6,1.04120716531924
