"simulation","quantity","year","value"
1,"SSB",1964,760.783174995445
1,"SSB",1965,669.726227123977
1,"SSB",1966,681.026249930214
1,"SSB",1967,797.242637148698
1,"SSB",1968,937.300705257173
1,"SSB",1969,1111.91564130521
1,"SSB",1970,1213.99770286349
1,"SSB",1971,1347.82328231581
1,"SSB",1972,1316.12588256272
1,"SSB",1973,1281.59771301032
1,"SSB",1974,1161.2694049466
1,"SSB",1975,1163.57989110345
1,"SSB",1976,1081.4187746089
1,"SSB",1977,1255.58136577703
1,"SSB",1978,1061.63259256253
1,"SSB",1979,904.158622122061
1,"SSB",1980,1044.94454864872
1,"SSB",1981,1661.41994225393
1,"SSB",1982,2315.09336297479
1,"SSB",1983,3054.73295036684
1,"SSB",1984,3150.70482262455
1,"SSB",1985,3583.76425953628
1,"SSB",1986,3475.39539795619
1,"SSB",1987,3559.64910564434
1,"SSB",1988,3424.81210669056
1,"SSB",1989,2990.55864689568
1,"SSB",1990,2529.24863038147
1,"SSB",1991,1974.25887937131
1,"SSB",1992,1918.45607161863
1,"SSB",1993,2637.25028533278
1,"SSB",1994,3061.00485184737
1,"SSB",1995,3254.5169832224
1,"SSB",1996,3186.01767329224
1,"SSB",1997,3057.38666851122
1,"SSB",1998,2575.37381722938
1,"SSB",1999,2696.60021293027
1,"SSB",2000,2590.54087747136
1,"SSB",2001,2618.9609939501
1,"SSB",2002,2443.78353322447
1,"SSB",2003,2508.85347514579
1,"SSB",2004,2830.6011176759
1,"SSB",2005,2512.51302952092
1,"SSB",2006,2311.25746252274
1,"SSB",2007,1892.92469443126
1,"SSB",2008,1378.4784400662
1,"SSB",2009,1455.38128518414
1,"SSB",2010,1517.51655487411
1,"SSB",2011,1880.6587143648
1,"SSB",2012,2309.33092542263
1,"SSB",2013,2639.4403061273
1,"SSB",2014,2602.86060217581
1,"SSB",2015,2456.96241291773
1,"SSB",2016,2730.65584885361
1,"SSB",2017,3144.38296887601
1,"SSB",2018,2956.35771477388
1,"SSB",2019,2848.69911681985
1,"SSB",2020,2177.98907780273
1,"SSB",2021,2545.99023231332
1,"SSB",2022,3686.52175931178
1,"SSB",2023,3723.51939463639
1,"SSB",2024,3939.47756979705
1,"recruitment",1964,9339.60185416098
1,"recruitment",1965,14972.8660926512
1,"recruitment",1966,16020.8862266608
1,"recruitment",1967,21384.7472512854
1,"recruitment",1968,21487.6348682173
1,"recruitment",1969,27182.2001862248
1,"recruitment",1970,21569.0958936606
1,"recruitment",1971,27912.6635182545
1,"recruitment",1972,13918.4558987844
1,"recruitment",1973,23559.5638850074
1,"recruitment",1974,17854.9319897723
1,"recruitment",1975,16720.1467194804
1,"recruitment",1976,9209.53362978987
1,"recruitment",1977,12781.0971458199
1,"recruitment",1978,28542.9047728931
1,"recruitment",1979,53067.3567785324
1,"recruitment",1980,26680.8104113404
1,"recruitment",1981,28234.0624759168
1,"recruitment",1982,18120.8077875438
1,"recruitment",1983,44448.541203441
1,"recruitment",1984,14521.4826464285
1,"recruitment",1985,33814.4751358992
1,"recruitment",1986,12096.3743041673
1,"recruitment",1987,6351.21396176233
1,"recruitment",1988,5057.78040713302
1,"recruitment",1989,10634.7672729415
1,"recruitment",1990,51637.9287462473
1,"recruitment",1991,26229.9830337773
1,"recruitment",1992,20914.0568968434
1,"recruitment",1993,44137.0164190554
1,"recruitment",1994,15260.6642505774
1,"recruitment",1995,9405.01185302678
1,"recruitment",1996,23288.1752165497
1,"recruitment",1997,28998.2734647348
1,"recruitment",1998,13208.1895366617
1,"recruitment",1999,15935.081469615
1,"recruitment",2000,24502.2091996094
1,"recruitment",2001,34180.9855099619
1,"recruitment",2002,22612.3065742675
1,"recruitment",2003,14287.3893814179
1,"recruitment",2004,6202.93225188594
1,"recruitment",2005,4518.71602181681
1,"recruitment",2006,10528.0579584411
1,"recruitment",2007,25796.8199742439
1,"recruitment",2008,11549.4003353763
1,"recruitment",2009,49283.3785715533
1,"recruitment",2010,22005.2021628086
1,"recruitment",2011,14350.8683899091
1,"recruitment",2012,11741.316324428
1,"recruitment",2013,44303.9511767534
1,"recruitment",2014,47510.6746848754
1,"recruitment",2015,20974.0828370494
1,"recruitment",2016,7760.40029803966
1,"recruitment",2017,7824.88572785659
1,"recruitment",2018,17254.4362838207
1,"recruitment",2019,92386.3972017485
1,"recruitment",2020,22513.9961493009
1,"recruitment",2021,14698.0561367892
1,"recruitment",2022,15737.3891193565
1,"recruitment",2023,19915.3732585756
1,"recruitment",2024,19223.3558299085
2,"SSB",1964,510.314837732554
2,"SSB",1965,529.73674502628
2,"SSB",1966,604.438840594927
2,"SSB",1967,828.420683692841
2,"SSB",1968,1158.61855174265
2,"SSB",1969,1521.31485992785
2,"SSB",1970,1696.87132026682
2,"SSB",1971,1795.05340760676
2,"SSB",1972,1780.42556299461
2,"SSB",1973,1588.01481850164
2,"SSB",1974,1166.36299045128
2,"SSB",1975,995.770143697138
2,"SSB",1976,948.226964509017
2,"SSB",1977,1164.11354125062
2,"SSB",1978,1015.98706331555
2,"SSB",1979,937.185149254796
2,"SSB",1980,1091.30684970908
2,"SSB",1981,1557.44430914166
2,"SSB",1982,2075.33436222477
2,"SSB",1983,2774.26986901341
2,"SSB",1984,2929.78923417027
2,"SSB",1985,3445.8578953009
2,"SSB",1986,3407.04368675353
2,"SSB",1987,3487.79236103793
2,"SSB",1988,3339.22635349504
2,"SSB",1989,2923.67270586053
2,"SSB",1990,2476.24118620778
2,"SSB",1991,1964.37957892784
2,"SSB",1992,1900.4554106849
2,"SSB",1993,2594.443474252
2,"SSB",1994,3067.05575043434
2,"SSB",1995,3276.17282066778
2,"SSB",1996,3206.20166685762
2,"SSB",1997,3087.12469436143
2,"SSB",1998,2630.68269785201
2,"SSB",1999,2762.52840109848
2,"SSB",2000,2641.68419688805
2,"SSB",2001,2655.86592402076
2,"SSB",2002,2481.46716178119
2,"SSB",2003,2571.79771021014
2,"SSB",2004,2909.73871380675
2,"SSB",2005,2556.74753193446
2,"SSB",2006,2283.70770522459
2,"SSB",2007,1835.54234400769
2,"SSB",2008,1362.9556842978
2,"SSB",2009,1454.49528073645
2,"SSB",2010,1518.50246362624
2,"SSB",2011,1890.22868877061
2,"SSB",2012,2305.29437270975
