"simulation","fishery_sel_form","fishery_sel_label","convergence","message","objective","max_gradient","seconds","tot_like"
1,2,"double_logistic",1,"false convergence (8)",6180.23995986758,2.00537425542701,0.655901193618774,6180.23995986758
2,2,"double_logistic",1,"false convergence (8)",6402.72223291031,1.93360393610278,0.668354988098145,6402.72223291031
3,2,"double_logistic",1,"false convergence (8)",5985.65072655142,5.26768728886004,0.646016120910645,5985.65072655142
4,2,"double_logistic",0,"relative convergence (4)",6090.96106665259,11.6857424417868,0.84926700592041,6090.96106665259
5,2,"double_logistic",1,"false convergence (8)",6195.83489762609,4.24324075249819,0.921438932418823,6195.83489762609
6,2,"double_logistic",1,"false convergence (8)",6065.62559291733,2.71112613102029,0.626622915267944,6065.62559291733
7,2,"double_logistic",1,"false convergence (8)",6504.92487261826,1.19988100347602,0.681694030761719,6504.92487261826
8,2,"double_logistic",1,"false convergence (8)",6149.44640360636,7.38955885358251,0.661839962005615,6149.44640360636
9,2,"double_logistic",1,"false convergence (8)",6042.07209001863,2.40119945102932,0.665539026260376,6042.07209001863
10,2,"double_logistic",1,"false convergence (8)",6179.65750411092,4.57733436989468,0.902774095535278,6179.65750411092
11,2,"double_logistic",1,"false convergence (8)",6091.00177100236,1.55497567383422,0.553789138793945,6091.00177100236
12,2,"double_logistic",1,"false convergence (8)",6002.08353609145,5.75561500431033,0.538793802261353,6002.08353609145
13,2,"double_logistic",1,"false convergence (8)",6113.78600424565,4.16388479165567,0.772900104522705,6113.78600424565
14,2,"double_logistic",1,"false convergence (8)",6122.33676430967,2.66375220124908,0.774837017059326,6122.33676430968
15,2,"double_logistic",1,"false convergence (8)",6268.26095729568,5.61650641106857,0.764595985412598,6268.26095729569
16,2,"double_logistic",1,"false convergence (8)",6135.38555048272,8.38833480675875,0.649631023406982,6135.38555048272
17,2,"double_logistic",1,"false convergence (8)",6550.86565900813,2.7830699567697,0.592486143112183,6550.86565900814
18,2,"double_logistic",1,"false convergence (8)",6478.13151486424,3.38150950451801,0.80046796798706,6478.13151486424
19,2,"double_logistic",1,"false convergence (8)",6146.93891290484,2.78615272685927,0.918442010879517,6146.93891290484
20,2,"double_logistic",1,"false convergence (8)",6321.05421834712,7.69396630266293,0.502208948135376,6321.05421834712
21,2,"double_logistic",1,"false convergence (8)",5957.91133308643,4.60132651905569,0.62448787689209,5957.91133308643
22,2,"double_logistic",1,"false convergence (8)",5981.96509312588,3.90614837018837,0.70140790939331,5981.96509312588
23,2,"double_logistic",1,"false convergence (8)",6271.19881814481,2.03058218178826,0.560863018035889,6271.19881814481
24,2,"double_logistic",1,"false convergence (8)",6295.07716692794,2.66138495381391,0.810062885284424,6295.07716692794
25,2,"double_logistic",1,"false convergence (8)",6324.28793881286,1.27885164799073,0.49215579032898,6324.28793881286
26,2,"double_logistic",1,"false convergence (8)",6021.20691143737,3.31579023079515,0.685191869735718,6021.20691143737
27,2,"double_logistic",1,"false convergence (8)",6244.51031870549,3.0276137506299,0.836159944534302,6244.51031870549
28,2,"double_logistic",1,"false convergence (8)",6126.8254617277,3.50935291753927,0.665162086486816,6126.8254617277
29,2,"double_logistic",1,"false convergence (8)",6148.64355970358,1.9555715262607,0.917473793029785,6148.64355970358
30,2,"double_logistic",1,"false convergence (8)",6150.58994864934,1.08825382455833,0.857186079025269,6150.58994864934
