"simulation","quantity","year","value"
1,"SSB",1964,797.087278973753
1,"SSB",1965,744.823816132216
1,"SSB",1966,784.921081933112
1,"SSB",1967,945.665857276261
1,"SSB",1968,1118.54808065504
1,"SSB",1969,1293.15865565458
1,"SSB",1970,1377.2974241304
1,"SSB",1971,1487.98756776706
1,"SSB",1972,1427.1312022331
1,"SSB",1973,1352.17460410176
1,"SSB",1974,1198.35505990562
1,"SSB",1975,1176.82076627044
1,"SSB",1976,1067.19142247575
1,"SSB",1977,1247.98332790434
1,"SSB",1978,1072.65505857394
1,"SSB",1979,952.726219237132
1,"SSB",1980,1131.33193233685
1,"SSB",1981,1815.03440348078
1,"SSB",1982,2533.95198145766
1,"SSB",1983,3343.37643769619
1,"SSB",1984,3464.62393345719
1,"SSB",1985,3953.68224083149
1,"SSB",1986,3834.14140526334
1,"SSB",1987,3922.21600096448
1,"SSB",1988,3781.13219533904
1,"SSB",1989,3319.23696642648
1,"SSB",1990,2825.9391260497
1,"SSB",1991,2238.18745284465
1,"SSB",1992,2153.85456463836
1,"SSB",1993,2891.95978864973
1,"SSB",1994,3320.47605462173
1,"SSB",1995,3517.50014023783
1,"SSB",1996,3449.74848176342
1,"SSB",1997,3318.23505144552
1,"SSB",1998,2796.42271792145
1,"SSB",1999,2919.26418234141
1,"SSB",2000,2807.15068934086
1,"SSB",2001,2840.81111872409
1,"SSB",2002,2655.70102920212
1,"SSB",2003,2723.10382061332
1,"SSB",2004,3067.11214298261
1,"SSB",2005,2738.47086859514
1,"SSB",2006,2544.14377385623
1,"SSB",2007,2131.00371222692
1,"SSB",2008,1603.8253125812
1,"SSB",2009,1720.50254707062
1,"SSB",2010,1801.93849956428
1,"SSB",2011,2227.87253790049
1,"SSB",2012,2733.03803965826
1,"SSB",2013,3112.97040880642
1,"SSB",2014,3036.55010061064
1,"SSB",2015,2805.57558736896
1,"SSB",2016,3059.21158933164
1,"SSB",2017,3516.86406942352
1,"SSB",2018,3351.19736422192
1,"SSB",2019,3270.86488826318
1,"SSB",2020,2525.69275011232
1,"SSB",2021,2944.24432688636
1,"SSB",2022,4216.24528948548
1,"SSB",2023,4198.73719339638
1,"SSB",2024,4292.59772457546
1,"recruitment",1964,10029.6557459565
1,"recruitment",1965,17403.1477942746
1,"recruitment",1966,16247.5890663125
1,"recruitment",1967,21451.5469701517
1,"recruitment",1968,21647.7379517779
1,"recruitment",1969,27309.8055328634
1,"recruitment",1970,20216.9250256924
1,"recruitment",1971,25999.263808663
1,"recruitment",1972,13393.0040298023
1,"recruitment",1973,21832.7515031354
1,"recruitment",1974,17484.3186108355
1,"recruitment",1975,16203.1674415594
1,"recruitment",1976,10102.552181458
1,"recruitment",1977,14021.2063393981
1,"recruitment",1978,30549.5627499305
1,"recruitment",1979,56477.3638135719
1,"recruitment",1980,27737.2205022389
1,"recruitment",1981,30250.96649382
1,"recruitment",1982,19500.7985319448
1,"recruitment",1983,47343.0291323811
1,"recruitment",1984,14164.6097295844
1,"recruitment",1985,36746.8334436386
1,"recruitment",1986,12388.5675631494
1,"recruitment",1987,6373.39877268005
1,"recruitment",1988,5377.87228300426
1,"recruitment",1989,10819.7135438825
1,"recruitment",1990,53669.1350352827
1,"recruitment",1991,27031.7049102373
1,"recruitment",1992,21776.6152616415
1,"recruitment",1993,47234.0837858833
1,"recruitment",1994,15903.915338055
1,"recruitment",1995,9324.22876081439
1,"recruitment",1996,23580.3378534956
1,"recruitment",1997,30961.43156613
1,"recruitment",1998,13698.7287242585
1,"recruitment",1999,16290.1959899152
1,"recruitment",2000,25666.4355433603
1,"recruitment",2001,35654.0697141975
1,"recruitment",2002,23595.6137516357
1,"recruitment",2003,15308.8241424713
1,"recruitment",2004,6678.25590696831
1,"recruitment",2005,4886.69765941423
1,"recruitment",2006,11306.210721247
1,"recruitment",2007,29177.4145012716
1,"recruitment",2008,12384.5156440691
1,"recruitment",2009,55071.0289900528
1,"recruitment",2010,23552.5183319807
1,"recruitment",2011,14531.0230484053
1,"recruitment",2012,10731.8343525484
1,"recruitment",2013,44616.5636514646
1,"recruitment",2014,52507.3430766839
1,"recruitment",2015,23393.2935038044
1,"recruitment",2016,8298.84288368102
1,"recruitment",2017,7615.1686095432
1,"recruitment",2018,16634.0790588351
1,"recruitment",2019,105092.726733478
1,"recruitment",2020,22120.5098267114
1,"recruitment",2021,11600.780872584
