Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,Scenario
EBS_Pollock_2024,2,1,2025,3274.81,27005.7,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.33865,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2026,2883.61,20759.8,11804,0.479905,0.195044,9497.26,1300,1729.24,2075.7,4.68895,2.43159,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2027,2653.24,13452.1,11797.4,0.467548,0.20481,8935.1,1300,1655.71,1988.62,4.24119,2.70899,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2028,2597.07,21260,11377.2,0.470579,0.202367,9263.59,1300,1673.63,2010.09,4.14874,2.44132,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2029,2646.54,49062.8,11261.4,0.478372,0.196228,9539.55,1300,1721.49,2068.21,4.38262,1.84008,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2030,2549.01,14555.8,12517.6,0.475261,0.198654,8995.21,1300,1699.3,2038.18,4.29131,2.45175,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2031,2381.6,34378.8,12551.6,0.451963,0.217897,8620.47,1300,1542.39,1827.97,3.50713,2.13713,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,1,2032,2642.79,48442.8,13658.7,0.464302,0.207463,10544.7,1300,1641.72,1978.13,3.76469,1.94962,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2025,3274.81,14093.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.81273,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2026,2883.61,25919,11093.4,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71102,2.31979,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2027,2648.33,60909.1,11078.4,0.465393,0.206567,8893.09,1300,1642.66,1972.5,4.61762,1.71419,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2028,2447.6,8294.34,13185.6,0.45866,0.212163,8315.02,1300,1602.59,1907.85,4.18855,2.58826,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2029,2322.1,38204.3,13256.4,0.447206,0.222076,8520.74,1300,1485.87,1763.58,3.23355,2.12155,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2030,2807.74,25026,14739.7,0.480524,0.194568,11622.1,1300,1742.75,2101.94,3.72599,2.389,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2031,3474.64,17974.9,15931.7,0.561958,0.141086,12776.6,1300,2339.2,2814.97,4.00851,2.69874,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,2,2032,3574.22,15822,14981.1,0.575881,0.133444,13285,1300,2434.61,2913.8,4.13412,2.88963,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2025,3274.81,13528.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.84126,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2026,2883.61,13008,11062.3,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71199,2.84376,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2027,2648.11,12620.4,10324,0.465296,0.206646,8891.25,1300,1642.08,1971.78,4.66004,2.79474,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2028,2436.01,27103.3,9472.73,0.45583,0.214566,8230.77,1300,1586.16,1881.44,4.72101,2.12869,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2029,2133.22,15647.8,9273.76,0.42152,0.246296,7330.24,1300,1266.17,1503.07,4.59743,2.34961,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,3,2030,1824.23,19927,8951.42,0.378503,0.294419,6450.19,1300,953.653,1139.39,3.85115,2.21288,0.5,5977.95,2391.18,2092.28,2
