scenario,year,quantity,value
Current tinyVAST BTS ages,1964,spawning_biomass,528.691
Current tinyVAST BTS ages,1964,recruitment_age1,6339.69
Current tinyVAST BTS ages,1964,predicted_catch,175.408
Current tinyVAST BTS ages,1965,spawning_biomass,620.079
Current tinyVAST BTS ages,1965,recruitment_age1,20900.4
Current tinyVAST BTS ages,1965,predicted_catch,231.406
Current tinyVAST BTS ages,1966,spawning_biomass,716.454
Current tinyVAST BTS ages,1966,recruitment_age1,15002.2
Current tinyVAST BTS ages,1966,predicted_catch,262.924
Current tinyVAST BTS ages,1967,spawning_biomass,900.525
Current tinyVAST BTS ages,1967,recruitment_age1,25470.6
Current tinyVAST BTS ages,1967,predicted_catch,551.645
Current tinyVAST BTS ages,1968,spawning_biomass,1117.09
Current tinyVAST BTS ages,1968,recruitment_age1,22080.7
Current tinyVAST BTS ages,1968,predicted_catch,704.125
Current tinyVAST BTS ages,1969,spawning_biomass,1310.99
Current tinyVAST BTS ages,1969,recruitment_age1,26127.5
Current tinyVAST BTS ages,1969,predicted_catch,865.488
Current tinyVAST BTS ages,1970,spawning_biomass,1584.82
Current tinyVAST BTS ages,1970,recruitment_age1,23489
Current tinyVAST BTS ages,1970,predicted_catch,1256.22
Current tinyVAST BTS ages,1971,spawning_biomass,1680.6
Current tinyVAST BTS ages,1971,recruitment_age1,14393.4
Current tinyVAST BTS ages,1971,predicted_catch,1733.56
Current tinyVAST BTS ages,1972,spawning_biomass,1634.35
Current tinyVAST BTS ages,1972,recruitment_age1,11740.2
Current tinyVAST BTS ages,1972,predicted_catch,1862.18
Current tinyVAST BTS ages,1973,spawning_biomass,1393.01
Current tinyVAST BTS ages,1973,recruitment_age1,26789
Current tinyVAST BTS ages,1973,predicted_catch,1749.3
Current tinyVAST BTS ages,1974,spawning_biomass,1184.3
Current tinyVAST BTS ages,1974,recruitment_age1,19424.1
Current tinyVAST BTS ages,1974,predicted_catch,1584.85
Current tinyVAST BTS ages,1975,spawning_biomass,957.173
Current tinyVAST BTS ages,1975,recruitment_age1,16489.2
