year,season,area_group,length,observations
1991,A season,NMFS_AREA < 520,20,9
1991,A season,NMFS_AREA < 520,21,25
1991,A season,NMFS_AREA < 520,22,75
1991,A season,NMFS_AREA < 520,23,140
1991,A season,NMFS_AREA < 520,24,211
1991,A season,NMFS_AREA < 520,25,266
1991,A season,NMFS_AREA < 520,26,286
1991,A season,NMFS_AREA < 520,27,269
1991,A season,NMFS_AREA < 520,28,238
1991,A season,NMFS_AREA < 520,29,178
1991,A season,NMFS_AREA < 520,30,123
1991,A season,NMFS_AREA < 520,31,117
1991,A season,NMFS_AREA < 520,32,112
1991,A season,NMFS_AREA < 520,33,124
1991,A season,NMFS_AREA < 520,34,170
1991,A season,NMFS_AREA < 520,35,270
1991,A season,NMFS_AREA < 520,36,381
1991,A season,NMFS_AREA < 520,37,631
1991,A season,NMFS_AREA < 520,38,986
1991,A season,NMFS_AREA < 520,39,1670
1991,A season,NMFS_AREA < 520,40,2301
1991,A season,NMFS_AREA < 520,41,3069
1991,A season,NMFS_AREA < 520,42,3809
1991,A season,NMFS_AREA < 520,43,4437
1991,A season,NMFS_AREA < 520,44,4913
1991,A season,NMFS_AREA < 520,45,5297
1991,A season,NMFS_AREA < 520,46,5668
1991,A season,NMFS_AREA < 520,47,5822
1991,A season,NMFS_AREA < 520,48,5939
1991,A season,NMFS_AREA < 520,49,5964
1991,A season,NMFS_AREA < 520,50,5864
1991,A season,NMFS_AREA < 520,51,5644
1991,A season,NMFS_AREA < 520,52,5331
1991,A season,NMFS_AREA < 520,53,4818
1991,A season,NMFS_AREA < 520,54,4101
1991,A season,NMFS_AREA < 520,55,3371
1991,A season,NMFS_AREA < 520,56,2670
1991,A season,NMFS_AREA < 520,57,2029
1991,A season,NMFS_AREA < 520,58,1460
1991,A season,NMFS_AREA < 520,59,1167
1991,A season,NMFS_AREA < 520,60,876
1991,A season,NMFS_AREA < 520,61,624
1991,A season,NMFS_AREA < 520,62,468
1991,A season,NMFS_AREA < 520,63,379
1991,A season,NMFS_AREA < 520,64,266
1991,A season,NMFS_AREA < 520,65,614
1991,A season,NMFS_AREA > 519,20,74
1991,A season,NMFS_AREA > 519,21,99
1991,A season,NMFS_AREA > 519,22,135
1991,A season,NMFS_AREA > 519,23,180
1991,A season,NMFS_AREA > 519,24,233
1991,A season,NMFS_AREA > 519,25,257
1991,A season,NMFS_AREA > 519,26,268
1991,A season,NMFS_AREA > 519,27,250
1991,A season,NMFS_AREA > 519,28,236
1991,A season,NMFS_AREA > 519,29,219
1991,A season,NMFS_AREA > 519,30,171
1991,A season,NMFS_AREA > 519,31,154
1991,A season,NMFS_AREA > 519,32,159
1991,A season,NMFS_AREA > 519,33,175
1991,A season,NMFS_AREA > 519,34,203
1991,A season,NMFS_AREA > 519,35,242
1991,A season,NMFS_AREA > 519,36,305
1991,A season,NMFS_AREA > 519,37,342
1991,A season,NMFS_AREA > 519,38,421
1991,A season,NMFS_AREA > 519,39,510
1991,A season,NMFS_AREA > 519,40,560
1991,A season,NMFS_AREA > 519,41,616
1991,A season,NMFS_AREA > 519,42,653
1991,A season,NMFS_AREA > 519,43,662
1991,A season,NMFS_AREA > 519,44,683
1991,A season,NMFS_AREA > 519,45,692
1991,A season,NMFS_AREA > 519,46,693
1991,A season,NMFS_AREA > 519,47,678
1991,A season,NMFS_AREA > 519,48,657
1991,A season,NMFS_AREA > 519,49,645
1991,A season,NMFS_AREA > 519,50,590
1991,A season,NMFS_AREA > 519,51,552
1991,A season,NMFS_AREA > 519,52,514
1991,A season,NMFS_AREA > 519,53,412
1991,A season,NMFS_AREA > 519,54,362
1991,A season,NMFS_AREA > 519,55,271
1991,A season,NMFS_AREA > 519,56,250
1991,A season,NMFS_AREA > 519,57,185
1991,A season,NMFS_AREA > 519,58,131
1991,A season,NMFS_AREA > 519,59,118
1991,A season,NMFS_AREA > 519,60,83
1991,A season,NMFS_AREA > 519,61,60
1991,A season,NMFS_AREA > 519,62,52
1991,A season,NMFS_AREA > 519,63,48
1991,A season,NMFS_AREA > 519,64,38
1991,A season,NMFS_AREA > 519,65,117
1991,B season,NMFS_AREA < 520,20,30
1991,B season,NMFS_AREA < 520,21,39
1991,B season,NMFS_AREA < 520,22,39
1991,B season,NMFS_AREA < 520,23,66
1991,B season,NMFS_AREA < 520,24,179
1991,B season,NMFS_AREA < 520,25,309
1991,B season,NMFS_AREA < 520,26,466
1991,B season,NMFS_AREA < 520,27,560
1991,B season,NMFS_AREA < 520,28,669
1991,B season,NMFS_AREA < 520,29,695
1991,B season,NMFS_AREA < 520,30,604
1991,B season,NMFS_AREA < 520,31,505
1991,B season,NMFS_AREA < 520,32,409
1991,B season,NMFS_AREA < 520,33,327
1991,B season,NMFS_AREA < 520,34,208
1991,B season,NMFS_AREA < 520,35,157
1991,B season,NMFS_AREA < 520,36,195
1991,B season,NMFS_AREA < 520,37,259
1991,B season,NMFS_AREA < 520,38,384
1991,B season,NMFS_AREA < 520,39,593
1991,B season,NMFS_AREA < 520,40,831
1991,B season,NMFS_AREA < 520,41,1257
1991,B season,NMFS_AREA < 520,42,1683
1991,B season,NMFS_AREA < 520,43,2113
1991,B season,NMFS_AREA < 520,44,2511
1991,B season,NMFS_AREA < 520,45,2796
1991,B season,NMFS_AREA < 520,46,3030
1991,B season,NMFS_AREA < 520,47,3203
1991,B season,NMFS_AREA < 520,48,3317
1991,B season,NMFS_AREA < 520,49,3382
1991,B season,NMFS_AREA < 520,50,3396
1991,B season,NMFS_AREA < 520,51,3399
1991,B season,NMFS_AREA < 520,52,3397
1991,B season,NMFS_AREA < 520,53,3297
1991,B season,NMFS_AREA < 520,54,3192
1991,B season,NMFS_AREA < 520,55,2933
1991,B season,NMFS_AREA < 520,56,2685
1991,B season,NMFS_AREA < 520,57,2328
1991,B season,NMFS_AREA < 520,58,1872
1991,B season,NMFS_AREA < 520,59,1514
1991,B season,NMFS_AREA < 520,60,1149
1991,B season,NMFS_AREA < 520,61,831
