"data_type","fleet","year","age",".truth",".pred","uncertainty","uncertainty_scale","sample_size","distribution","engine","model"
"catch","fishery",1964,NA,174.792,175.38464772413,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1965,NA,230.551,231.393842451906,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1966,NA,261.678,262.947695655971,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1967,NA,550.362,551.598528861299,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1968,NA,702.181,704.103348612259,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1969,NA,862.789,865.385737422259,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1970,NA,1256.565,1255.621307505,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1971,NA,1743.763,1732.42573366486,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1972,NA,1874.534,1861.59839040418,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1973,NA,1758.919,1750.04409129275,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1974,NA,1588.39,1586.05014934145,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1975,NA,1356.736,1355.30400252791,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1976,NA,1177.822,1178.07118900823,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1977,NA,978.37,978.341517766651,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1978,NA,979.431,978.912715294671,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1979,NA,935.714,935.697028766903,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1980,NA,958.28,959.691391581659,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1981,NA,973.502,975.67456273731,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1982,NA,955.964,953.188232577123,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1983,NA,981.45,975.796982343639,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1984,NA,1092.055,1086.18631881548,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1985,NA,1139.676,1130.60070674153,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1986,NA,1141.993,1130.96591182254,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1987,NA,859.416,852.965013919292,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1988,NA,1228.721,1214.97371051629,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1989,NA,1229.6,1214.52091561062,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1990,NA,1455.193,1436.85974372654,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1991,NA,1195.66393,1183.93049133276,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1992,NA,1390.30916,1388.96456621159,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1993,NA,1326.60896,1338.5521171167,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1994,NA,1329.37306,1339.21747001518,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1995,NA,1264.24689,1277.88618440892,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1996,NA,1192.78109,1208.89586821773,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1997,NA,1124.43305,1128.54941477373,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1998,NA,1102.15914,1088.44081804988,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",1999,NA,989.68031,975.532221926924,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2000,NA,1132.70985,1121.29574377242,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2001,NA,1387.19702,1388.4078718408,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2002,NA,1480.77611,1486.69990086838,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2003,NA,1490.779227,1496.27478083447,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2004,NA,1480.551669,1490.49484331584,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2005,NA,1483.021809,1499.81609103474,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2006,NA,1488.031045,1479.72249262063,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2007,NA,1354.501789,1317.95505984731,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2008,NA,990.578068,965.720242183373,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2009,NA,810.784346,792.316348093176,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2010,NA,810.1859078,794.782052334423,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2011,NA,1199.040625,1189.23819366954,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2012,NA,1205.221865,1191.84508176733,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2013,NA,1270.770468,1238.59359531577,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2014,NA,1297.422339,1284.97047165835,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2015,NA,1321.583785,1365.47793512239,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2016,NA,1352.680796,1428.55589302299,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2017,NA,1359.182092,1436.39000451929,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2018,NA,1379.287269,1416.53841205485,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2019,NA,1409.337138,1452.01031803583,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2020,NA,1367.22904,1376.79164864518,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2021,NA,1376.257582,1378.96898958306,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2022,NA,1105.418688,1105.14044330952,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2023,NA,1310.7156,1311.61846803477,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"catch","fishery",2024,NA,1300,1297.81050098509,NA,NA,NA,"lognormal","custom RTMB","base coefficients"
"age_composition","fishery",1964,1,0.025321,0.0248384339388645,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,2,0.105571,0.107915714310444,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,3,0.165563,0.26046465466615,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,4,0.193611,0.209262982622868,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,5,0.095442,0.0987949558915757,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,6,0.268407,0.145587178444453,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,7,0.120764,0.0621681751009967,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,8,0.025321,0.0182998174353821,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,9,0,0.0108615715081941,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,10,0,0.0105502603289652,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,11,0,0.0102931395493837,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,12,0,0.010268312978396,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,13,0,0.0102483008675761,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,14,0,0.0102316766080036,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1964,15,0,0.0102148257487462,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,1,0.01417,0.0561134186434459,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,2,0.015327,0.0595532885117225,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,3,0.204164,0.182831758698045,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,4,0.550318,0.470077861877215,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,5,0.13476,0.0839533382166224,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,6,0.033545,0.0204173430772293,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,7,0.032389,0.060562421132589,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,8,0.015327,0.0259630147886444,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,9,0,0.00778774708833487,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,10,0,0.00472706030730316,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,11,0,0.00465022293369748,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,12,0,0.00469159761463896,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,13,0,0.00468028170070748,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,14,0,0.00467116021052109,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1965,15,0,0.00931948519928315,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,1,0.028428,0.033835718597368,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,2,0.168302,0.169325435128843,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,3,0.057358,0.131822207920608,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,4,0.420126,0.360883425892949,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,5,0.264906,0.21297346473501,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,6,0.024151,0.018824388463961,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,7,0.026415,0.00948866156855303,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,8,0.010314,0.0286922682986097,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,9,0,0.0127333281785475,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,10,0,0.00395383759895484,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,11,0,0.00245054161806588,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,12,0,0.00249283311572875,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,13,0,0.0025150127351307,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,14,0,0.00250894664208843,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1966,15,0,0.00749992950558342,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,1,0.00946700946700947,0.047792829199019,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,2,0.11017811017811,0.105902368549095,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,3,0.577515577515577,0.418279923941875,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,4,0.0876920876920877,0.185444851808866,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,5,0.16000016000016,0.150814801671501,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,6,0.037988037988038,0.0464241698732585,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,7,0.0114790114790115,0.00894058162705695,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,8,0.00568000568000568,0.00455044139362365,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,9,0,0.0141450821596103,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,10,0,0.00644718815191235,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,11,0,0.00203702776980262,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,12,0,0.00129360800611001,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,13,0,0.0013159331196946,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,14,0,0.00132764144287479,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1967,15,0,0.00528355128569939,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1968,1,0.032939,0.0367328213673205,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1968,2,0.178617,0.151177218998696,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1968,3,0.140218,0.229274621021026,NA,NA,10,"composition","custom RTMB","base coefficients"
"age_composition","fishery",1968,4,0.468517,0.431924050172841,NA,NA,10,"composition","custom RTMB","base coefficients"
