"term","estimate","std.error","gradient","estimation_type","module","year","age","engine","model","statistic","p.value"
"log_avgrec",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_avginit",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_avg_F",-1.6,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"natmort_phi",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_q_bts",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_q_std_area",-0.6,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"bt_slope",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_q_ats",-0.655456215448041,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_Rzero",9.97883489248466,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"steepness",0.67,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_q_cpue",-0.104121610394526,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_q_avo",-8.22857299554825,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[1]",8.01029467794179,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[2]",7.507529199926,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[3]",5.95007951517334,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[4]",5.18041630863895,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[5]",6.20601815561663,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[6]",5.41760771408228,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_initdevs[7]",4.26111081002331,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
