"peel","terminal_year","data_stream","maximum_year"
0,2024,"ATS",2024
0,2024,"AVO",2024
0,2024,"BTS",2024
0,2024,"CPUE",1976
0,2024,"Fishery age composition",2023
1,2023,"ATS",2022
1,2023,"AVO",2023
1,2023,"BTS",2023
1,2023,"CPUE",1975
1,2023,"Fishery age composition",2022
2,2022,"ATS",2022
2,2022,"AVO",2022
2,2022,"BTS",2022
2,2022,"CPUE",1974
2,2022,"Fishery age composition",2021
3,2021,"ATS",2020
3,2021,"AVO",2021
3,2021,"BTS",2021
3,2021,"CPUE",1973
3,2021,"Fishery age composition",2020
4,2020,"ATS",2020
4,2020,"AVO",2019
4,2020,"BTS",2019
4,2020,"CPUE",1972
4,2020,"Fishery age composition",2019
5,2019,"ATS",2018
5,2019,"AVO",2019
5,2019,"BTS",2019
5,2019,"CPUE",1971
5,2019,"Fishery age composition",2018
6,2018,"ATS",2018
6,2018,"AVO",2018
6,2018,"BTS",2018
6,2018,"CPUE",1970
6,2018,"Fishery age composition",2017
7,2017,"ATS",2016
7,2017,"AVO",2017
7,2017,"BTS",2017
7,2017,"CPUE",1969
7,2017,"Fishery age composition",2016
8,2016,"ATS",2016
8,2016,"AVO",2016
8,2016,"BTS",2016
8,2016,"CPUE",1968
8,2016,"Fishery age composition",2015
9,2015,"ATS",2014
9,2015,"AVO",2015
9,2015,"BTS",2015
9,2015,"CPUE",1967
9,2015,"Fishery age composition",2014
