spp_file,Alt,Year,variable,value
EBS_Pollock_2024,NA,NA,SSB_100, 5969.32
EBS_Pollock_2024,NA,NA,SSB_40, 2387.73
EBS_Pollock_2024,NA,NA,SSB_ofl, 2089.26
EBS_Pollock_2024,NA,NA,SSB_2025,3688.61
EBS_Pollock_2024,NA,NA,Mean_rec, 11836.3
EBS_Pollock_2024,NA,NA,C_abc,1604.2
EBS_Pollock_2024,NA,NA,C_ofl,1732.78
EBS_Pollock_2024,NA,NA,F_0,0 
EBS_Pollock_2024,NA,NA,F_abc,0.268106
EBS_Pollock_2024,NA,NA,F_ofl,0.332016
EBS_Pollock_2024,1,2025,C_lb,1350
EBS_Pollock_2024,1,2025,C_ub,1350
EBS_Pollock_2024,1,2025,C_median,1350
EBS_Pollock_2024,1,2025,C_mean,1350
EBS_Pollock_2024,1,2025,C_sd,3.31966e-11
EBS_Pollock_2024,1,2026,C_lb,1350
EBS_Pollock_2024,1,2026,C_ub,1350
EBS_Pollock_2024,1,2026,C_median,1350
EBS_Pollock_2024,1,2026,C_mean,1350
EBS_Pollock_2024,1,2026,C_sd,3.38043e-07
EBS_Pollock_2024,1,2027,C_lb,1603.52
EBS_Pollock_2024,1,2027,C_ub,1651.44
EBS_Pollock_2024,1,2027,C_median,1615.9
EBS_Pollock_2024,1,2027,C_mean,1620.45
EBS_Pollock_2024,1,2027,C_sd,16.5215
EBS_Pollock_2024,1,2028,C_lb,1342.09
EBS_Pollock_2024,1,2028,C_ub,1727.13
EBS_Pollock_2024,1,2028,C_median,1481.2
EBS_Pollock_2024,1,2028,C_mean,1506.58
EBS_Pollock_2024,1,2028,C_sd,127.203
EBS_Pollock_2024,1,2029,C_lb,975.884
EBS_Pollock_2024,1,2029,C_ub,2116.38
EBS_Pollock_2024,1,2029,C_median,1393.01
EBS_Pollock_2024,1,2029,C_mean,1457.98
EBS_Pollock_2024,1,2029,C_sd,379.622
EBS_Pollock_2024,1,2030,C_lb,810.786
EBS_Pollock_2024,1,2030,C_ub,2431.97
EBS_Pollock_2024,1,2030,C_median,1443.39
EBS_Pollock_2024,1,2030,C_mean,1504.43
EBS_Pollock_2024,1,2030,C_sd,520.368
EBS_Pollock_2024,1,2031,C_lb,808.148
EBS_Pollock_2024,1,2031,C_ub,2407.15
EBS_Pollock_2024,1,2031,C_median,1523.69
EBS_Pollock_2024,1,2031,C_mean,1538.25
EBS_Pollock_2024,1,2031,C_sd,539.217
EBS_Pollock_2024,1,2032,C_lb,798.641
EBS_Pollock_2024,1,2032,C_ub,2506.57
EBS_Pollock_2024,1,2032,C_median,1547.54
EBS_Pollock_2024,1,2032,C_mean,1563.36
EBS_Pollock_2024,1,2032,C_sd,535.157
EBS_Pollock_2024,1,2033,C_lb,795.18
EBS_Pollock_2024,1,2033,C_ub,2540.64
EBS_Pollock_2024,1,2033,C_median,1552.22
EBS_Pollock_2024,1,2033,C_mean,1580.58
EBS_Pollock_2024,1,2033,C_sd,562.148
EBS_Pollock_2024,1,2034,C_lb,787.992
EBS_Pollock_2024,1,2034,C_ub,2537.18
EBS_Pollock_2024,1,2034,C_median,1528.95
EBS_Pollock_2024,1,2034,C_mean,1572.33
