Fleet,Year,Cohort,Age,Sample_size,Observed,Predicted,Residual,Weighted_absolute_difference
Fishery,2012,2012,1,607.4592535,5.139593396093774e-9,3.0367237336998754e-4,-3.0366723377659143e-4,0.18446547114233824
Fishery,2013,2012,2,753.2713006,5.22290102537124e-4,0.00404802653340903,-0.003525736430871906,2.6558360668556826
Fishery,2013,2013,1,753.2713006,9.917447982325301e-4,0.0010618392212107396,-7.009442297820946e-5,0.05280011716160237
Fishery,2014,2012,3,606.3439178,0.01776535077641162,0.029186960692167543,-0.011421609915755922,6.925423703902774
Fishery,2014,2013,2,606.3439178,0.022455490611113637,0.01683562047576019,0.005619870135353446,3.4075740753974246
Fishery,2014,2014,1,606.3439178,5.730797947250164e-9,0.0011556618458599649,-0.0011556561150620176,0.7007250564362313
Fishery,2015,2012,4,821.2348389,0.0923002579986615,0.09574837108795899,-0.0034481130892974887,2.8317105973982044
Fishery,2015,2013,3,821.2348389,0.29721603117785544,0.2774909867548892,0.019725044422966242,16.198893678990025
Fishery,2015,2014,2,821.2348389,0.007271587772177088,0.011019304999357356,-0.003747717227180268,3.077755953306142
Fishery,2016,2012,5,704.1101836,0.07029580643767179,0.08003150153783307,-0.009735695100161285,6.855002064448183
Fishery,2016,2013,4,704.1101836,0.6112763616545372,0.5800005012984375,0.03127586035609975,22.021651777581358
Fishery,2016,2014,3,704.1101836,0.039817931403987615,0.05017204249334481,-0.010354111089357194,7.290435060142091
Fishery,2017,2012,6,606.7200798,0.1027956245325692,0.09103093916828356,0.01176468536428564,7.137870843041275
Fishery,2017,2013,5,606.7200798,0.4288577580569246,0.43341134020691213,-0.004553582149987523,2.7627497254162856
Fishery,2017,2014,4,606.7200798,0.2619226852941963,0.2600340262767435,0.0018886590174528317,1.1458873497839717
Fishery,2018,2012,7,667.8408369,0.04913533294303787,0.04881352825001155,3.218046930263188e-4,0.21491431550904436
Fishery,2018,2013,6,667.8408369,0.23749449783155718,0.24809601511323848,-0.010601517281681294,7.080126173807849
Fishery,2018,2014,5,667.8408369,0.5701496090818251,0.5450301251005792,0.02511948398124586,16.77581720453138
Fishery,2019,2012,8,700.7958749,0.05320954608792094,0.04327515985030241,0.009934386237618525,6.961976894986393
Fishery,2019,2013,7,700.7958749,0.24123644044789408,0.2407007258204049,5.357146274891922e-4,0.375426601068016
Fishery,2019,2014,6,700.7958749,0.5235009722313647,0.5069851995930686,0.016515772638296067,11.574185335704172
Fishery,2020,2012,9,565.2432815,0.02672694671549242,0.023875231748275452,0.002851714967216968,1.6119127259723838
Fishery,2020,2013,8,565.2432815,0.06278865147020625,0.109751407442409,-0.046962755972202744,26.5453822940116
Fishery,2020,2014,7,565.2432815,0.30281262125984404,0.2975317805419494,0.0052808407178946415,2.9849597364615827
BTS,2012,2012,1,107,0.12987516501578952,0.11714103477201587,0.01273413024377365,1.3625519360837806
BTS,2013,2012,2,66,0.012077138076692882,0.011111754158795305,9.653839178975776e-4,0.06371533858124012
BTS,2013,2013,1,66,0.11353464956357397,0.13487166925496455,-0.021337019691390582,1.4082432996317784
BTS,2014,2012,3,117,0.014292702165730876,0.021013382404463425,-0.006720680238732549,0.7863195879317082
BTS,2014,2013,2,117,0.025025574772571904,0.021721240685858123,0.003304334086713781,0.38660708814551237
BTS,2014,2014,1,117,0.13023984616913184,0.1372941410261681,-0.007054294857036264,0.8253524982732429
BTS,2015,2012,4,103,0.04213116504292414,0.08965909156625192,-0.047527926523327775,4.89537643190276
BTS,2015,2013,3,103,0.15724264175301345,0.13457323698913135,0.0226694047638821,2.334948690679856
BTS,2015,2014,2,103,0.05278415345531048,0.052607991899131526,1.7616155617895118e-4,0.018144640286431972
BTS,2016,2012,5,122,0.11882384906077716,0.11674350459700382,0.002080344463773337,0.2538020245803471
BTS,2016,2013,4,122,0.28138173815614187,0.24171547730828843,0.039666260847853435,4.8392838234381195
BTS,2016,2014,3,122,0.05091943678961638,0.11964210926372709,-0.06872267247411071,8.384166041841507
BTS,2017,2012,6,234,0.11472198783881148,0.09082266282618481,0.023899325012626663,5.592442052954639
BTS,2017,2013,5,234,0.25106097300377067,0.26879062506817963,-0.017729652064408963,4.148738583071697
BTS,2017,2014,4,234,0.1902090339359537,0.2512291249001648,-0.0610200909642111,14.278701285625397
BTS,2018,2012,7,158,0.06648383926494493,0.053018388934855595,0.013465450330089335,2.127541152154115
BTS,2018,2013,6,158,0.19181384186651465,0.18699560968227044,0.004818232184244209,0.761280685110585
BTS,2018,2014,5,158,0.31207660398781506,0.28637231454710516,0.025704289440709904,4.061277731632165
BTS,2019,2012,8,120,0.03577977507137727,0.03755675661646537,-0.0017769815450880966,0.2132377854105716
BTS,2019,2013,7,120,0.15053789945183182,0.16024984454236121,-0.00971194509052939,1.1654334108635267
BTS,2019,2014,6,120,0.37694119331048587,0.30193537703993867,0.0750058162705472,9.000697952465664
BTS,2021,2012,10,149,0.016390562369877956,0.01591510970730185,4.754526625761063e-4,0.07084244672383984
BTS,2021,2013,9,149,0.04221656394607861,0.0702016294515274,-0.02798506550544879,4.16977476031187
BTS,2021,2014,8,149,0.1590870317369444,0.14932404032872543,0.009762991408218985,1.4546857198246288
ATS,2012,2012,1,44,0,0,0,0
ATS,2014,2012,3,79,0.06567352447023753,0.09529097903178475,-0.029617454561547227,2.339778910362231
ATS,2014,2013,2,79,0.5863180840862837,0.5511076074321354,0.03521047665414834,2.7816276556777186
ATS,2014,2014,1,79,0,0,0,0
ATS,2016,2012,5,61,0.0593950466555178,0.051151621421297304,0.008243425234220496,0.5028489392874502
ATS,2016,2013,4,61,0.37161256158201705,0.2567411897288679,0.11487137185314916,7.007153683042099
ATS,2016,2014,3,61,0.37324475711399385,0.3861454935466894,-0.01290073643269557,0.7869449223944298
ATS,2018,2012,7,50,0.03874661222241953,0.0332451738854844,0.00550143833693513,0.27507191684675647
ATS,2018,2013,6,50,0.18439908591230778,0.15546925900209313,0.028929826910214645,1.4464913455107322
ATS,2018,2014,5,50,0.4428885130625202,0.33622523042657193,0.10666328263594826,5.333164131797413
ATS,2020,2012,9,1,0.009767092411720512,0.005771706455949241,0.003995385955771271,0.003995385955771271
ATS,2020,2013,8,1,0.048835462058602556,0.02644985102095398,0.022385611037648575,0.022385611037648575
ATS,2020,2014,7,1,0.042073628850488355,0.06257847606644822,-0.02050484721595986,0.02050484721595986
