Terminal_year,Cohort,Age1_abundance
2015,2012,13143.462357090946
2015,2013,77958.00395999977
2015,2014,51881.93665115914
2016,2012,14389.55958753562
2016,2013,76504.61644726162
2016,2014,38684.535436016784
2017,2012,14883.689914674636
2017,2013,75420.38719402034
2017,2014,39377.226734745476
2018,2012,15519.105658657325
2018,2013,64259.99006233477
2018,2014,41720.09513447319
2019,2012,14948.061142547038
2019,2013,60903.56186894382
2019,2014,61374.98627152119
2020,2012,15947.239043804311
2020,2013,63617.87581405583
2020,2014,66666.41703636646
2021,2012,12622.053731400787
2021,2013,45547.73504137936
2021,2014,49472.687441262955
2022,2012,12421.436475856188
2022,2013,44424.03417505251
2022,2014,50480.564458362
2023,2012,12308.58941050389
2023,2013,43473.26448612379
2023,2014,49794.14073673818
2024,2012,12316.7847176204
2024,2013,43507.912427685886
2024,2014,49730.15474298799
