Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2015,1964,1378.013000006687,278.9433718645087,820.1262562776695,1935.8997437357043
2015,1965,1409.383738023629,276.68190898625915,856.0199200511106,1962.7475559961472
2015,1966,1435.3006550518458,287.5859717237666,860.1287116043126,2010.4725984993788
2015,1967,1549.033349816682,305.0555787987898,938.9221922191024,2159.1445074142616
2015,1968,1718.3938395692223,344.3248973955181,1029.744044778186,2407.0436343602587
2015,1969,1942.100767111025,380.8998380214069,1180.3010910682115,2703.9004431538388
2015,1970,2050.518256603651,386.4689302672395,1277.580396069172,2823.45611713813
2015,1971,2160.52678686878,399.09836067261205,1362.3300655235562,2958.723508214004
2015,1972,2017.8465654894603,369.3874333818495,1279.0716987257613,2756.6214322531596
2015,1973,1734.3298531402684,339.42277152752723,1055.484310085214,2413.1753961953227
2015,1974,1328.840467573782,298.99776346714697,730.8449406394881,1926.835994508076
2015,1975,1237.0521320135979,269.9819288720629,697.0882742694721,1777.0159897577237
2015,1976,1158.5244287549533,206.6553101094369,745.2138085360796,1571.835048973827
2015,1977,1355.1839064213016,199.90428161343365,955.3753431944342,1754.992469648169
2015,1978,1212.7935152189516,165.34292126382817,882.1076726912952,1543.479357746608
2015,1979,1130.2996787347513,141.49139466443688,847.3168894058775,1413.282468063625
2015,1980,1353.6485187426658,135.7740243583881,1082.1004700258895,1625.1965674594421
2015,1981,2060.5602087417465,138.8657116048156,1782.8287855321153,2338.291631951378
2015,1982,2844.2337428945107,160.88865479702991,2522.456433300451,3166.0110524885704
2015,1983,3800.9858938910143,202.89004586442329,3395.205802162168,4206.765985619861
2015,1984,3943.2192992418136,207.85074830534768,3527.5178026311182,4358.920795852509
2015,1985,4494.607102735198,212.0126723453021,4070.581758044594,4918.632447425803
2015,1986,4372.842771176557,190.14416859856877,3992.5544339794196,4753.131108373695
2015,1987,4390.897358469786,170.80786997505123,4049.2816185196834,4732.513098419889
2015,1988,4140.5655092723655,147.95533879611182,3844.654831680142,4436.476186864589
2015,1989,3602.601438401306,130.70485399944997,3341.191730402406,3864.011146400206
2015,1990,3085.875536420954,120.95949225205817,2843.9565519168377,3327.7945209250706
2015,1991,2529.1969961686054,111.42744832892446,2306.3420995107567,2752.051892826454
2015,1992,2398.8655385051143,98.18275980160104,2202.500018901912,2595.2310581083166
2015,1993,3094.260729307971,110.20684727631834,2873.8470347553343,3314.6744238606075
2015,1994,3576.0729524381786,123.24549656427402,3329.5819593096307,3822.5639455667265
2015,1995,3828.0282276741386,128.19967701330455,3571.6288736475294,4084.427581700748
2015,1996,3772.6750908256754,126.09993506398226,3520.475220697711,4024.87496095364
2015,1997,3682.1228780062124,125.78083528031783,3430.5612074455767,3933.684548566848
2015,1998,3144.2010462750104,109.13897122546507,2925.9231038240805,3362.4789887259403
2015,1999,3271.0523040581907,107.99845290216383,3055.055398253863,3487.049209862518
2015,2000,3143.0303053936636,100.58382566716863,2941.8626540593264,3344.197956728001
2015,2001,3188.2521353436073,101.74642203864047,2984.7592912663263,3391.7449794208883
2015,2002,2975.5684374331695,95.62526278024933,2784.3179118726707,3166.8189629936683
2015,2003,2999.1888437383527,92.06209360774288,2815.064656522867,3183.3130309538383
2015,2004,3304.113889887497,97.40676722407082,3109.3003554393554,3498.9274243356385
2015,2005,2920.8997803002744,89.39030754783919,2742.119165204596,3099.680395395953
2015,2006,2696.743170795161,89.35251392193203,2518.038142951297,2875.448198639025
2015,2007,2256.106134349895,85.95255180859567,2084.2010307327037,2428.0112379670863
2015,2008,1775.5064003569817,79.28712656142449,1616.9321472341326,1934.0806534798307
2015,2009,1921.4949223333117,91.49115657295644,1738.5126091873988,2104.4772354792244
2015,2010,2023.6488228222702,104.74191729615877,1814.1649882299525,2233.132657414588
2015,2011,2716.9407941680934,151.00641243630122,2414.927969295491,3018.9536190406957
2015,2012,3649.679524673613,230.75444920873622,3188.17062625614,4111.1884230910855
2015,2013,4429.721173287898,321.69888548296643,3786.3234023219647,5073.118944253831
2015,2014,4543.90454206432,381.0863838479531,3781.7317743684134,5306.077309760226
2015,2015,4522.49778310103,443.4631130390795,3635.5715570228713,5409.424009179189
2016,1964,1357.1684726991225,276.2187537492777,804.7309652005671,1909.605980197678
2016,1965,1388.3311834974768,274.434275489499,839.4626325184788,1937.1997344764748
2016,1966,1414.0495770187229,285.53687879055286,842.9758194376171,1985.1233345998285
2016,1967,1527.81137280158,303.0664118456553,921.6785491102695,2133.9441964928906
2016,1968,1697.2469018306676,342.2742014793102,1012.6984988720473,2381.795304789288
2016,1969,1921.4373731693527,378.7180787531998,1164.0012156629532,2678.873530675752
2016,1970,2031.7068392354195,384.3294616499815,1263.0479159354563,2800.3657625353826
2016,1971,2143.1475030820707,396.9534386674536,1349.2406257471634,2937.054380416978
2016,1972,2002.912383998705,367.2157365407348,1268.4809109172356,2737.3438570801745
2016,1973,1721.3554159263226,337.39748270809395,1046.5604505101346,2396.1503813425106
2016,1974,1317.5159756210664,297.1854398909802,723.145095839106,1911.8868554030269
2016,1975,1226.8204593164535,268.2352206678372,690.3500179807791,1763.290900652128
2016,1976,1150.6669515752892,205.13725867880848,740.3924342176722,1560.9414689329062
2016,1977,1348.3508787891897,198.55172333996697,951.2474321092557,1745.4543254691237
2016,1978,1207.5656150909037,164.25651387127678,879.0525873483502,1536.0786428334573
