Alt,Year,B,Catch,ABC,OFL,F,B_B35_percent
1,2025,3516.37,1350,2359.66,2878.31,0.187761,166.34435713914027
1,2026,2985.78132,1350,2116.2876,2570.31569,0.210052212,141.24448628371124
1,2027,2476.05076,1863.63231,1863.63231,2259.04877,0.35387,117.131323471671
1,2028,2115.30313,1308.09473,1308.09473,1582.95115,0.305901395,100.0659029949241
1,2029,2178.68367,1264.814647,1264.814647,1544.844253,0.303144643,103.06416403725798
1,2030,2320.98627,1364.760196,1364.760196,1670.752324,0.310817104,109.7958886612959
1,2031,2426.27178,1463.837406,1463.837406,1792.508008,0.318187798,114.77649379585696
1,2032,2497.97244,1530.66613,1530.66613,1874.003584,0.322084431,118.16834396923237
1,2033,2531.7054200000002,1563.698885,1563.698885,1913.095458,0.323025485,119.76410632429952
1,2034,2526.2532,1566.801007,1566.801007,1916.05545,0.32249073300000003,119.50618522075207
1,2035,2518.47252,1564.063183,1564.063183,1912.25822,0.322954993,119.13811467848679
1,2036,2504.41768,1554.18189,1554.18189,1899.574775,0.32219372,118.47324058261705
1,2037,2498.01219,1548.503966,1548.503966,1892.991324,0.321700225,118.17022437095241
1,2038,2510.9974,1550.955155,1550.955155,1896.3839329999998,0.321440265,118.7844988670284
2,2025,3516.37,1350,2359.66,2878.31,0.187761,166.34435713914027
2,2026,2985.78132,1350,2116.2876,2570.31569,0.210052212,141.24448628371124
2,2027,2476.05076,1863.63231,1863.63231,2259.04877,0.35387,117.131323471671
2,2028,2115.30313,1308.09473,1308.09473,1582.95115,0.305901395,100.0659029949241
2,2029,2178.68367,1264.814647,1264.814647,1544.844253,0.303144643,103.06416403725798
2,2030,2320.98627,1364.760196,1364.760196,1670.752324,0.310817104,109.7958886612959
2,2031,2426.27178,1463.837406,1463.837406,1792.508008,0.318187798,114.77649379585696
2,2032,2497.97244,1530.66613,1530.66613,1874.003584,0.322084431,118.16834396923237
2,2033,2531.7054200000002,1563.698885,1563.698885,1913.095458,0.323025485,119.76410632429952
2,2034,2526.2532,1566.801007,1566.801007,1916.05545,0.32249073300000003,119.50618522075207
2,2035,2518.47252,1564.063183,1564.063183,1912.25822,0.322954993,119.13811467848679
2,2036,2504.41768,1554.18189,1554.18189,1899.574775,0.32219372,118.47324058261705
2,2037,2498.01219,1548.503966,1548.503966,1892.991324,0.321700225,118.17022437095241
2,2038,2510.9974,1550.955155,1550.955155,1896.3839329999998,0.321440265,118.7844988670284
3,2025,3516.37,1350,1419.78,2878.31,0.187761,166.34435713914027
3,2026,2985.78132,1350,1282.97821,2570.31569,0.210052212,141.24448628371124
3,2027,2582.16327,1131.76743,1131.76743,2259.04877,0.198442,122.15105042314953
3,2028,2446.32088,1014.825137,1014.825137,1962.53604,0.198442,115.72493057887992
3,2029,2568.7947,1000.859039,1000.859039,1950.28955,0.198442,121.51864081252278
3,2030,2754.25154,1056.751266,1056.751266,2085.195493,0.198442,130.2918071251851
3,2031,2915.08111,1123.563925,1123.563925,2238.843549,0.198442,137.89996310155118
3,2032,3045.39798,1182.271042,1182.271042,2364.285874,0.198442,144.06469433419588
3,2033,3131.37264,1227.013067,1227.013067,2456.860937,0.198442,148.13178612145268
3,2034,3163.56321,1249.439954,1249.439954,2502.736519,0.198442,149.65458368615506
3,2035,3179.23117,1257.964576,1257.964576,2522.641909,0.198442,150.39576755869456
3,2036,3178.74262,1260.820508,1260.820508,2527.990827,0.198442,150.372656357177
3,2037,3177.83871,1261.452755,1261.452755,2529.2668869999998,0.198442,150.3298962585919
3,2038,3192.86433,1263.185998,1263.185998,2533.1192,0.198442,151.04069378544972
4,2025,3516.37,1350,1070.69,2878.31,0.187761,166.34435713914027
4,2026,2985.78132,1350,970.151019,2570.31569,0.210052212,141.24448628371124
4,2027,2619.13875,856.433892,856.433892,2259.04877,0.146054,123.90020152229755
4,2028,2585.00234,803.019057,803.019057,2103.43911,0.146054,122.28535462720743
4,2029,2769.53548,810.406147,810.406147,2143.90843,0.146054,131.01482466140942
4,2030,2999.16065,865.9203200000001,865.9203200000001,2308.77953,0.146054,141.87740490370925
4,2031,3198.95567,928.656804,928.656804,2488.676114,0.146054,151.32884891031313
4,2032,3363.19049,984.46156800000006,984.46156800000006,2640.478198,0.146054,159.0980926340289
4,2033,3479.0002,1029.435096,1029.435096,2758.080797,0.146054,164.5765524549295
