"Year","Candidate1","Candidate2"
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,NA,NA
1981,NA,NA
1982,-1.53162549008766,-0.40989903439731
1983,-1.61866676487226,0.294965095789609
1984,-1.29496309823192,-0.71874032196115
1985,-1.06003630088208,-0.1333328602153
1986,-1.00279321921117,0.143227454965446
1987,-0.0934335638080383,0.467301191038185
1988,-0.935396179412178,0.13335330454484
1989,-0.414280594711167,0.768532611576768
1990,-1.11440448217435,-0.299588855626061
1991,-1.24635192369559,0.0992706244960545
1992,-1.11995965602638,-0.343889825304568
1993,0.0291687484829209,0.283426230806439
1994,-0.284812535600662,-0.234935085126987
1995,-0.565892693717114,-0.528388564275886
1996,0.606452607347074,0.192961762159596
1997,-0.153736375704455,-0.0209019200330981
1998,0.284371562724963,0.412133165017687
1999,-0.959791555511912,-0.354676541086821
2000,-0.427664644917817,0.384574967868357
2001,0.234285056992443,0.567911132713127
2002,-0.128139968106597,0.385672863489873
2003,0.963890378594921,0.407488912997852
2004,0.506571022719824,0.874781722531174
2005,1.16072384391651,0.7602017763952
2006,0.205583689946126,-0.465588712959933
2007,-0.190706044908741,-2.44320490102084
2008,-0.409914779683027,-1.65192975552062
2009,-0.672695623795764,-3.08394161200765
2010,-0.0260652820720501,-2.19759695590725
2011,0.724398508126661,-0.253315350532581
2012,-0.292456151829228,-0.890313265557642
2013,0.157695637565914,-0.69451821088416
2014,0.558703148544443,0.393205353148428
2015,0.795163571043431,1.21749338180984
2016,1.83712399420142,1.17603631677316
2017,0.592559085920257,1.18646786931644
2018,2.5881200224787,1.08326786329536
2019,2.44854793910947,1.14433068139394
2020,NA,NA
2021,1.17883522791562,1.11376054233885
2022,0.67159288332948,1.23439694795174
2023,NA,NA
2024,NA,NA
