"Year","Covariate","Value"
1982,"Arrowtooth--juvenile pollock range overlap",0.15266199536133
1982,"Adult-pollock--juvenile pollock range overlap",0.888863372094073
1983,"Arrowtooth--juvenile pollock range overlap",0.140243557884752
1983,"Adult-pollock--juvenile pollock range overlap",0.935277738240496
1984,"Arrowtooth--juvenile pollock range overlap",0.18642732248448
1984,"Adult-pollock--juvenile pollock range overlap",0.868526583785212
1985,"Arrowtooth--juvenile pollock range overlap",0.219945027178965
1985,"Adult-pollock--juvenile pollock range overlap",0.907074887083203
1986,"Arrowtooth--juvenile pollock range overlap",0.228112067843938
1986,"Adult-pollock--juvenile pollock range overlap",0.925286016264887
1987,"Arrowtooth--juvenile pollock range overlap",0.357853113713186
1987,"Adult-pollock--juvenile pollock range overlap",0.946625841062796
1988,"Arrowtooth--juvenile pollock range overlap",0.237727803906185
1988,"Adult-pollock--juvenile pollock range overlap",0.924635816583304
1989,"Arrowtooth--juvenile pollock range overlap",0.312076913827827
1989,"Adult-pollock--juvenile pollock range overlap",0.966461529742226
1990,"Arrowtooth--juvenile pollock range overlap",0.212188157099062
1990,"Adult-pollock--juvenile pollock range overlap",0.896127150754236
1991,"Arrowtooth--juvenile pollock range overlap",0.193362823292991
1991,"Adult-pollock--juvenile pollock range overlap",0.922391517400969
1992,"Arrowtooth--juvenile pollock range overlap",0.211395583928188
1992,"Adult-pollock--juvenile pollock range overlap",0.893209990780789
1993,"Arrowtooth--juvenile pollock range overlap",0.375345150145752
1993,"Adult-pollock--juvenile pollock range overlap",0.93451791931752
1994,"Arrowtooth--juvenile pollock range overlap",0.330548506773318
1994,"Adult-pollock--juvenile pollock range overlap",0.900384515611056
1995,"Arrowtooth--juvenile pollock range overlap",0.290445964868756
1995,"Adult-pollock--juvenile pollock range overlap",0.881060994034569
1996,"Arrowtooth--juvenile pollock range overlap",0.457707954749468
1996,"Adult-pollock--juvenile pollock range overlap",0.928560954292356
1997,"Arrowtooth--juvenile pollock range overlap",0.349249532239331
1997,"Adult-pollock--juvenile pollock range overlap",0.914478315063599
1998,"Arrowtooth--juvenile pollock range overlap",0.411755694457683
1998,"Adult-pollock--juvenile pollock range overlap",0.942993099872502
1999,"Arrowtooth--juvenile pollock range overlap",0.234247243062357
1999,"Adult-pollock--juvenile pollock range overlap",0.892499699883021
2000,"Arrowtooth--juvenile pollock range overlap",0.31016737158955
2000,"Adult-pollock--juvenile pollock range overlap",0.941178429217485
2001,"Arrowtooth--juvenile pollock range overlap",0.404609703760754
2001,"Adult-pollock--juvenile pollock range overlap",0.953250872002635
2002,"Arrowtooth--juvenile pollock range overlap",0.352901447818068
2002,"Adult-pollock--juvenile pollock range overlap",0.941250724184962
2003,"Arrowtooth--juvenile pollock range overlap",0.508704664356417
2003,"Adult-pollock--juvenile pollock range overlap",0.942687282049615
2004,"Arrowtooth--juvenile pollock range overlap",0.443457552089068
2004,"Adult-pollock--juvenile pollock range overlap",0.973457892484166
2005,"Arrowtooth--juvenile pollock range overlap",0.536787480106111
2005,"Adult-pollock--juvenile pollock range overlap",0.965912955317932
2006,"Arrowtooth--juvenile pollock range overlap",0.400514794385414
2006,"Adult-pollock--juvenile pollock range overlap",0.885196280777202
2007,"Arrowtooth--juvenile pollock range overlap",0.343974959610663
2007,"Adult-pollock--juvenile pollock range overlap",0.754972883219135
2008,"Arrowtooth--juvenile pollock range overlap",0.312699797638932
2008,"Adult-pollock--juvenile pollock range overlap",0.807077299876104
2009,"Arrowtooth--juvenile pollock range overlap",0.275208073273311
2009,"Adult-pollock--juvenile pollock range overlap",0.712781222396062
2010,"Arrowtooth--juvenile pollock range overlap",0.367464746777077
2010,"Adult-pollock--juvenile pollock range overlap",0.771145839970317
2011,"Arrowtooth--juvenile pollock range overlap",0.474535647106625
2011,"Adult-pollock--juvenile pollock range overlap",0.899174199563086
2012,"Arrowtooth--juvenile pollock range overlap",0.32945796931894
2012,"Adult-pollock--juvenile pollock range overlap",0.857228733484906
2013,"Arrowtooth--juvenile pollock range overlap",0.393682463565002
2013,"Adult-pollock--juvenile pollock range overlap",0.870121577606317
2014,"Arrowtooth--juvenile pollock range overlap",0.450895397486855
2014,"Adult-pollock--juvenile pollock range overlap",0.941746728617637
2015,"Arrowtooth--juvenile pollock range overlap",0.484631909041354
2015,"Adult-pollock--juvenile pollock range overlap",0.996024999753747
2016,"Arrowtooth--juvenile pollock range overlap",0.633291500712982
2016,"Adult-pollock--juvenile pollock range overlap",0.993295107121165
2017,"Arrowtooth--juvenile pollock range overlap",0.45572572473738
2017,"Adult-pollock--juvenile pollock range overlap",0.99398201099169
2018,"Arrowtooth--juvenile pollock range overlap",0.740438337031723
2018,"Adult-pollock--juvenile pollock range overlap",0.987186427757081
2019,"Arrowtooth--juvenile pollock range overlap",0.720525172902568
2019,"Adult-pollock--juvenile pollock range overlap",0.99120733317102
2021,"Arrowtooth--juvenile pollock range overlap",0.539371485112515
2021,"Adult-pollock--juvenile pollock range overlap",0.989194330144644
2022,"Arrowtooth--juvenile pollock range overlap",0.467001711607883
2022,"Adult-pollock--juvenile pollock range overlap",0.997138077117866
