"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",0.745551643158347,0.107163496836418,0.535511189358968,0.955592096957726,"IID","Arrowtooth overlap(t-1) -> overlap(t)","Environmental persistence"
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.720000385323759,0.108151018044883,0.508024389955788,0.931976380691729,"IID","Adult-pollock overlap(t-1) -> overlap(t)","Environmental persistence"
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",0.995242602730447,0.0200139317919347,0.956015296418255,1.03446990904264,"Arrowtooth overlap","Arrowtooth overlap(t-1) -> overlap(t)","Environmental persistence"
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.720000225262288,0.108151041143586,0.50802418462086,0.931976265903717,"Arrowtooth overlap","Adult-pollock overlap(t-1) -> overlap(t)","Environmental persistence"
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.282055246601809,0.0673393527360419,-0.414040377964451,-0.150070115239166,"Arrowtooth overlap","Arrowtooth overlap -> age-1 recruitment","Recruitment effect"
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",0.745551484456403,0.107163516971772,0.535510991191731,0.955591977721076,"Adult-pollock overlap","Arrowtooth overlap(t-1) -> overlap(t)","Environmental persistence"
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.992170891508536,0.0215336972394446,0.949964844919224,1.03437693809785,"Adult-pollock overlap","Adult-pollock overlap(t-1) -> overlap(t)","Environmental persistence"
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.320394024501204,0.071316468621553,-0.460174302999448,-0.18061374600296,"Adult-pollock overlap","Adult-pollock overlap -> age-1 recruitment","Recruitment effect"
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",0.742289379704108,0.106777488503722,0.533005502236813,0.951573257171403,"Both overlap candidates","Arrowtooth overlap(t-1) -> overlap(t)","Environmental persistence"
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.991465908095733,0.022060957507935,0.94822643138018,1.03470538481129,"Both overlap candidates","Adult-pollock overlap(t-1) -> overlap(t)","Environmental persistence"
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",0.0605047409541631,0.105968805237283,-0.147194117310911,0.268203599219237,"Both overlap candidates","Arrowtooth overlap -> age-1 recruitment","Recruitment effect"
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.337014455881892,0.0782940960662018,-0.490470884171648,-0.183558027592137,"Both overlap candidates","Adult-pollock overlap -> age-1 recruitment","Recruitment effect"
