"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",0.745551643158347,0.107163496836418,0.535511189358968,0.955592096957726
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.720000385323759,0.108151018044883,0.508024389955788,0.931976380691729
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.68505661351623,0.06926271686445,0.549301688461908,0.820811538570551
"iid","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.681078853026974,0.0794436086316409,0.525369380108958,0.83678832594499
"iid","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.683041536437733,0.0790744942001188,0.5280555278055,0.838027545069965
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",0.995242602730447,0.0200139317919347,0.956015296418255,1.03446990904264
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.720000225262288,0.108151041143586,0.50802418462086,0.931976265903717
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.627644688977792,0.0608635087462502,0.508352211835142,0.746937166120443
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.282055246601809,0.0673393527360419,-0.414040377964451,-0.150070115239166
"candidate1","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.769615681234143,0.0942469426363375,0.584891673666922,0.954339688801365
"candidate1","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.683041662248739,0.0790745283186662,0.528055586744154,0.838027737753325
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",0.745551484456403,0.107163516971772,0.535510991191731,0.955591977721076
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.992170891508536,0.0215336972394446,0.949964844919224,1.03437693809785
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.609515018804239,0.0591614387089435,0.493558598934709,0.725471438673768
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.320394024501204,0.071316468621553,-0.460174302999448,-0.18061374600296
"candidate2","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.68107892515881,0.079443627761425,0.525369414746417,0.836788435571203
"candidate2","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.771942672610122,0.0930632420395609,0.589538718212583,0.954346627007662
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",0.742289379704108,0.106777488503722,0.533005502236813,0.951573257171403
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.991465908095733,0.022060957507935,0.94822643138018,1.03470538481129
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.609400949375982,0.0591356643364301,0.493495047276579,0.725306851475385
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",0.0605047409541631,0.105968805237283,-0.147194117310911,0.268203599219237
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.337014455881892,0.0782940960662018,-0.490470884171648,-0.183558027592137
"combined","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.681516096572264,0.0795259144685518,0.525645304213903,0.837386888930626
"combined","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.769227936523789,0.092461848421083,0.588002713618466,0.950453159429111
