"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0541614675802067,0.16106130085736,-0.369841617260632,0.261518682100219,"IID","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0210055973803102,0.158176035851571,-0.289019432888769,0.33103062764939,"IID","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.054542867099642,0.16041072438897,-0.368947886902023,0.259862152702739,"Random candidate-1 substitute","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0210054437911881,0.158176040214804,-0.289019595029829,0.331030482612205,"Random candidate-1 substitute","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0878107837600159,0.0829479787823214,-0.250388822173366,0.074767254653334,"Random candidate-1 substitute","Random candidate-1 substitute -> age-1 recruitment","Recruitment effect"
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0541613816826038,0.161061331575026,-0.369841591569654,0.261518828204446,"Random candidate-2 substitute","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0363537686001605,0.159523003412967,-0.276311318089255,0.349018855289576,"Random candidate-2 substitute","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.168690170649736,0.0971307638076513,-0.359066467712732,0.021686126413261,"Random candidate-2 substitute","Random candidate-2 substitute -> age-1 recruitment","Recruitment effect"
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0544785905592381,0.160458617797304,-0.368977481441954,0.260020300323477,"Both random substitutes","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0362404683728616,0.159558615650529,-0.276494418302176,0.348975355047899,"Both random substitutes","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0863592797122259,0.0805955883130558,-0.244326632805815,0.0716080733813634,"Both random substitutes","Random candidate-1 substitute -> age-1 recruitment","Recruitment effect"
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.167692988301975,0.0960844019124666,-0.356018416050409,0.0206324394464597,"Both random substitutes","Random candidate-2 substitute -> age-1 recruitment","Recruitment effect"
