"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0541614675802067,0.16106130085736,-0.369841617260632,0.261518682100219
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0210055973803102,0.158176035851571,-0.289019432888769,0.33103062764939
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685057357438866,0.069262854569767,0.549302162482123,0.82081255239561
"iid","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.19550844671206,0.134599294834202,0.931693828837024,1.4593230645871
"iid","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.0199492818027,0.11513030959937,0.79429387498794,1.24560468861747
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.054542867099642,0.16041072438897,-0.368947886902023,0.259862152702739
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0210054437911881,0.158176040214804,-0.289019595029829,0.331030482612205
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.676384886806663,0.0687832340325937,0.54156974810278,0.811200025510547
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0878107837600159,0.0829479787823214,-0.250388822173366,0.074767254653334
"candidate1","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.19289343492564,0.133817323820714,0.930611480237044,1.45517538961424
"candidate1","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.01994931222083,0.115130318048739,0.794293888845301,1.24560473559636
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0541613816826038,0.161061331575026,-0.369841591569654,0.261518828204446
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0363537686001605,0.159523003412967,-0.276311318089255,0.349018855289576
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.66128399117379,0.0681330857630264,0.527743143078258,0.794824839269321
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.168690170649736,0.0971307638076513,-0.359066467712732,0.021686126413261
"candidate2","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.19550869699618,0.134599364499076,0.931693942577993,1.45932345141437
"candidate2","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.01489510779356,0.113621601214446,0.79219676941325,1.23759344617388
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0544785905592381,0.160458617797304,-0.368977481441954,0.260020300323477
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0362404683728616,0.159558615650529,-0.276494418302176,0.348975355047899
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.652546685596873,0.0676136563516864,0.520023919147567,0.785069452046178
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0863592797122259,0.0805955883130558,-0.244326632805815,0.0716080733813634
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.167692988301975,0.0960844019124666,-0.356018416050409,0.0206324394464597
"combined","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.19301452068501,0.133848214381084,0.930672020498085,1.45535702087194
"combined","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.01500947071654,0.113651393477769,0.792252739500116,1.23776620193297
