"Year","Candidate1","Candidate2"
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,-0.612186315399131,NA
1981,0.530656829469807,NA
1982,0.127300425398417,NA
1983,-0.746638450089595,-0.994867838520629
1984,0.328978627434112,0.164542135581083
1985,1.27014357026735,-0.977645780575354
1986,0.26175256008888,NA
1987,0.396204694779343,-0.968968495903471
1988,-0.410508113363436,-0.123542254946658
1989,0.732335031505502,-0.530133534812274
1990,-0.0743777766372778,-0.397140724587245
1991,0.530656829469807,-0.40942968082403
1992,0.799561098850733,-0.420082822404074
1993,0.866787166195964,-0.519180751620123
1994,-0.14160384398251,0.44129849042575
1995,0.530656829469807,-0.820624548438106
1996,1.06846536823166,-1.04826693564746
1997,-1.01554271947052,0.929655443791427
1998,-0.0743777766372778,0.640866718869764
1999,1.00123930088643,-0.749154712436633
2000,0.799561098850733,-1.24534137417061
2001,0.934013233541196,-0.896925936500301
2002,-1.08276878681575,0.154164871195936
2003,1.00123930088643,0.319138180274434
2004,-0.881090584780058,1.62133557358353
2005,-0.5449602480539,0.837706808741359
2006,-0.746638450089595,0.931416091606107
2007,0.396204694779343,1.14505961809249
2008,0.26175256008888,-1.35929903728655
2009,1.60627390699351,-1.75098395268462
2010,1.20291750292212,-0.355865703058068
2011,1.27014357026735,-0.997344522234867
2012,-0.477734180708668,-0.504256916994125
2013,2.0096303110649,-1.17802248845398
2014,1.00123930088643,-0.397331408286829
2015,-0.208829911327741,0.662880462016315
2016,-1.08276878681575,0.28728424084404
2017,-0.881090584780058,2.59729115572083
2018,-1.08276878681575,0.293953540286283
2019,-3.16677687451793,1.24344170949313
2020,-1.88948159495853,2.20132784925579
2021,-0.343282046018205,1.25401924611431
2022,-1.21722092150622,1.00770891989328
2023,0.194526492743648,0.120459030099417
2024,-0.881090584780058,-0.209140665499279
