"Year","Covariate","Value"
1980,"Maximum winter regional sea-ice extent (source units)",0.73
1980,"April--May southeastern Bering Sea SST (degrees C)",NA
1981,"Maximum winter regional sea-ice extent (source units)",0.9
1981,"April--May southeastern Bering Sea SST (degrees C)",NA
1982,"Maximum winter regional sea-ice extent (source units)",0.84
1982,"April--May southeastern Bering Sea SST (degrees C)",NA
1983,"Maximum winter regional sea-ice extent (source units)",0.71
1983,"April--May southeastern Bering Sea SST (degrees C)",-0.20867451794122
1984,"Maximum winter regional sea-ice extent (source units)",0.87
1984,"April--May southeastern Bering Sea SST (degrees C)",0.420876894805616
1985,"Maximum winter regional sea-ice extent (source units)",1.01
1985,"April--May southeastern Bering Sea SST (degrees C)",-0.199323062328415
1986,"Maximum winter regional sea-ice extent (source units)",0.86
1986,"April--May southeastern Bering Sea SST (degrees C)",NA
1987,"Maximum winter regional sea-ice extent (source units)",0.88
1987,"April--May southeastern Bering Sea SST (degrees C)",-0.194611358146102
1988,"Maximum winter regional sea-ice extent (source units)",0.76
1988,"April--May southeastern Bering Sea SST (degrees C)",0.264449109036766
1989,"Maximum winter regional sea-ice extent (source units)",0.93
1989,"April--May southeastern Bering Sea SST (degrees C)",0.0436729208309817
1990,"Maximum winter regional sea-ice extent (source units)",0.81
1990,"April--May southeastern Bering Sea SST (degrees C)",0.115887075817192
1991,"Maximum winter regional sea-ice extent (source units)",0.9
1991,"April--May southeastern Bering Sea SST (degrees C)",0.10921425952885
1992,"Maximum winter regional sea-ice extent (source units)",0.94
1992,"April--May southeastern Bering Sea SST (degrees C)",0.103429679025215
1993,"Maximum winter regional sea-ice extent (source units)",0.95
1993,"April--May southeastern Bering Sea SST (degrees C)",0.0496202046099321
1994,"Maximum winter regional sea-ice extent (source units)",0.8
1994,"April--May southeastern Bering Sea SST (degrees C)",0.571153637347974
1995,"Maximum winter regional sea-ice extent (source units)",0.9
1995,"April--May southeastern Bering Sea SST (degrees C)",-0.114061644252516
