"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",0.356788471632219,0.140867748131698,0.0806876852940916,0.632889257970346,"IID","Maximum winter sea ice(t-1) -> sea ice(t)","Environmental persistence"
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.472829123059198,0.138624795068714,0.201124524724519,0.744533721393877,"IID","Age-0 April--May SST(t-1) -> SST(t)","Environmental persistence"
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",0.357478301757987,0.14208903010073,0.0789838027605559,0.635972800755418,"Maximum winter sea ice","Maximum winter sea ice(t-1) -> sea ice(t)","Environmental persistence"
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.472829285691585,0.138624758274013,0.201124759474519,0.744533811908652,"Maximum winter sea ice","Age-0 April--May SST(t-1) -> SST(t)","Environmental persistence"
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",0.098990085648654,0.104872609217458,-0.106560228417563,0.304540399714871,"Maximum winter sea ice","Maximum winter sea ice -> age-1 recruitment","Recruitment effect"
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",0.356788150026087,0.140867730710612,0.0806873978332865,0.632888902218887,"Age-0 April--May SST","Maximum winter sea ice(t-1) -> sea ice(t)","Environmental persistence"
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.513723300479378,0.162921174459899,0.194397798537976,0.83304880242078,"Age-0 April--May SST","Age-0 April--May SST(t-1) -> SST(t)","Environmental persistence"
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.229827844001511,0.109212670651328,-0.443884678478114,-0.0157710095249088,"Age-0 April--May SST","Age-0 April--May SST -> age-1 recruitment","Recruitment effect"
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",0.36110653700202,0.14042593089231,0.0858717124530935,0.636341361550947,"Both physical candidates","Maximum winter sea ice(t-1) -> sea ice(t)","Environmental persistence"
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.987887833067348,0.027514650629238,0.933959117834041,1.04181654830065,"Both physical candidates","Age-0 April--May SST(t-1) -> SST(t)","Environmental persistence"
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.131429960999971,0.101239951363365,-0.329860265672167,0.0670003436722253,"Both physical candidates","Maximum winter sea ice -> age-1 recruitment","Recruitment effect"
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.358904959197734,0.0845498272222646,-0.524622620553373,-0.193187297842096,"Both physical candidates","Age-0 April--May SST -> age-1 recruitment","Recruitment effect"
