"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",0.356788471632219,0.140867748131698,0.0806876852940916,0.632889257970346
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.472829123059198,0.138624795068714,0.201124524724519,0.744533721393877
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685056297557005,0.0692626481929676,0.549301507098789,0.820811088015222
"iid","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.924485823691662,0.0988135263860226,0.730811311975058,1.11816033540827
"iid","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.865214774202917,0.0972266196829535,0.674650599624328,1.05577894878151
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",0.357478301757987,0.14208903010073,0.0789838027605559,0.635972800755418
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.472829285691585,0.138624758274013,0.201124759474519,0.744533811908652
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.678426189293218,0.0688540798269032,0.543472192832487,0.813380185753948
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",0.098990085648654,0.104872609217458,-0.106560228417563,0.304540399714871
"candidate1","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.924287254940428,0.0987610516992614,0.730715593609875,1.11785891627098
"candidate1","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.865214549903193,0.097226558520903,0.674650495202223,1.05577860460416
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",0.356788150026087,0.140867730710612,0.0806873978332865,0.632888902218887
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.513723300479378,0.162921174459899,0.194397798537976,0.83304880242078
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.648126900120733,0.0680021687463674,0.514842649377853,0.781411150863613
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.229827844001511,0.109212670651328,-0.443884678478114,-0.0157710095249088
"candidate2","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.924485676532855,0.0988134875493379,0.730811240936152,1.11816011212956
"candidate2","Candidate2 <-> Candidate2",0,"V[Candidate2]",0.867494490208616,0.0983890339126982,0.674651983739728,1.0603369966775
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",0.36110653700202,0.14042593089231,0.0858717124530935,0.636341361550947
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.987887833067348,0.027514650629238,0.933959117834041,1.04181654830065
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.581560479945534,0.056718213768971,0.470392780958351,0.692728178932717
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.131429960999971,0.101239951363365,-0.329860265672167,0.0670003436722253
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",-0.358904959197734,0.0845498272222646,-0.524622620553373,-0.193187297842096
"combined","Candidate1 <-> Candidate1",0,"V[Candidate1]",0.922762687956004,0.098333949985056,0.730028145985294,1.11549722992671
"combined","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.0131432652923,0.114674224459845,0.788381785351,1.23790474523359
