"Year","Recruitment","model"
1964,7658.97480450767,"IID"
1965,25885.5203464848,"IID"
1966,17754.8453386004,"IID"
1967,28781.9666309463,"IID"
1968,23420.8626971077,"IID"
1969,26432.5156858117,"IID"
1970,23042.7762285961,"IID"
1971,13967.8738493234,"IID"
1972,11239.2899986807,"IID"
1973,24932.7270693277,"IID"
1974,18133.7983495549,"IID"
1975,15620.5694703637,"IID"
1976,12544.3124275278,"IID"
1977,13599.6470234872,"IID"
1978,25852.4249739084,"IID"
1979,61468.6948925976,"IID"
1980,29432.2229350828,"IID"
1981,33563.1566779105,"IID"
1982,18871.2832183007,"IID"
1983,51739.55316448,"IID"
1984,14292.5463751682,"IID"
1985,32627.4686367157,"IID"
1986,12738.6814450257,"IID"
1987,7326.19599919504,"IID"
1988,5699.32388187985,"IID"
1989,11814.778888842,"IID"
1990,50177.3753873785,"IID"
1991,27168.9887043901,"IID"
1992,23501.3840701376,"IID"
1993,45852.4477604444,"IID"
1994,15832.0631609924,"IID"
1995,11120.0717842282,"IID"
1996,22563.9442947585,"IID"
1997,30207.2769582566,"IID"
1998,14879.3004305575,"IID"
1999,16130.2221115129,"IID"
2000,24662.4080593598,"IID"
2001,34441.1217797088,"IID"
2002,23035.3218562052,"IID"
2003,14425.7070593606,"IID"
2004,6602.45436030396,"IID"
2005,4696.05261738177,"IID"
2006,11615.3299318002,"IID"
2007,25035.035834027,"IID"
2008,13603.4525724544,"IID"
2009,49641.67937124,"IID"
2010,23218.0843622285,"IID"
2011,14259.3031912035,"IID"
2012,12330.381519594,"IID"
2013,43463.5741895514,"IID"
2014,49669.6094924182,"IID"
2015,21291.5329764458,"IID"
2016,8156.09093832041,"IID"
2017,8248.54753173417,"IID"
2018,17093.1841373716,"IID"
2019,83104.3562616059,"IID"
2020,20774.5768488039,"IID"
2021,11096.6108214249,"IID"
2022,11004.8022415446,"IID"
2023,14997.6119809608,"IID"
2024,16747.1717039316,"IID"
1964,7656.47983010134,"Maximum winter sea ice"
1965,25870.5187765044,"Maximum winter sea ice"
1966,17768.561318917,"Maximum winter sea ice"
1967,28801.6163102016,"Maximum winter sea ice"
1968,23448.578304358,"Maximum winter sea ice"
1969,26450.267211887,"Maximum winter sea ice"
1970,23042.5662132988,"Maximum winter sea ice"
1971,13957.8497262526,"Maximum winter sea ice"
1972,11231.4164270582,"Maximum winter sea ice"
1973,24918.5431727294,"Maximum winter sea ice"
1974,18126.8980378974,"Maximum winter sea ice"
1975,15612.5185816345,"Maximum winter sea ice"
1976,12538.4208667737,"Maximum winter sea ice"
1977,13595.3372525556,"Maximum winter sea ice"
1978,25844.1387903415,"Maximum winter sea ice"
1979,61434.7751607599,"Maximum winter sea ice"
1980,29388.799360385,"Maximum winter sea ice"
1981,33565.19042227,"Maximum winter sea ice"
1982,18869.7830212062,"Maximum winter sea ice"
1983,51689.8287090875,"Maximum winter sea ice"
1984,14306.0095452991,"Maximum winter sea ice"
1985,32670.6392450828,"Maximum winter sea ice"
1986,12749.3650037958,"Maximum winter sea ice"
1987,7337.32060283499,"Maximum winter sea ice"
1988,5696.37423223564,"Maximum winter sea ice"
1989,11825.2399405155,"Maximum winter sea ice"
1990,50172.4492274621,"Maximum winter sea ice"
1991,27173.5731933884,"Maximum winter sea ice"
1992,23510.6428360041,"Maximum winter sea ice"
1993,45859.6878013908,"Maximum winter sea ice"
1994,15829.4553900616,"Maximum winter sea ice"
1995,11126.0516143433,"Maximum winter sea ice"
1996,22572.4486714722,"Maximum winter sea ice"
1997,30196.6769053485,"Maximum winter sea ice"
1998,14878.3803688953,"Maximum winter sea ice"
