"Year","Covariate","Value"
1980,"Standard-normal candidate-1 substitute",1.4861803970363
1980,"Standard-normal candidate-2 substitute",NA
1981,"Standard-normal candidate-1 substitute",-0.843439971577478
1981,"Standard-normal candidate-2 substitute",NA
1982,"Standard-normal candidate-1 substitute",-0.367241349571629
1982,"Standard-normal candidate-2 substitute",NA
1983,"Standard-normal candidate-1 substitute",-1.74666969605077
1983,"Standard-normal candidate-2 substitute",0.358799588819246
1984,"Standard-normal candidate-1 substitute",-1.13739152005818
1984,"Standard-normal candidate-2 substitute",0.792579229078705
1985,"Standard-normal candidate-1 substitute",0.726715001461908
1985,"Standard-normal candidate-2 substitute",1.78200891719713
1986,"Standard-normal candidate-1 substitute",1.79158721994553
1986,"Standard-normal candidate-2 substitute",NA
1987,"Standard-normal candidate-1 substitute",-0.603586408528535
1987,"Standard-normal candidate-2 substitute",-0.128300446636516
1988,"Standard-normal candidate-1 substitute",0.574417181700094
1988,"Standard-normal candidate-2 substitute",-1.51426353221189
1989,"Standard-normal candidate-1 substitute",-1.04277521121186
1989,"Standard-normal candidate-2 substitute",-1.126034751462
1990,"Standard-normal candidate-1 substitute",0.338656089442668
1990,"Standard-normal candidate-2 substitute",-0.221880515284849
1991,"Standard-normal candidate-1 substitute",0.0532874168540237
1991,"Standard-normal candidate-2 substitute",-0.136344994186404
1992,"Standard-normal candidate-1 substitute",-1.55511464954944
1992,"Standard-normal candidate-2 substitute",-3.07743175202297
1993,"Standard-normal candidate-1 substitute",-0.848715336227317
1993,"Standard-normal candidate-2 substitute",-0.549555903375021
1994,"Standard-normal candidate-1 substitute",0.779294904106119
1994,"Standard-normal candidate-2 substitute",-0.362976256748063
1995,"Standard-normal candidate-1 substitute",-2.39163195682808
1995,"Standard-normal candidate-2 substitute",-0.890680328927162
1996,"Standard-normal candidate-1 substitute",-1.04648793738459
1996,"Standard-normal candidate-2 substitute",0.636709221899633
1997,"Standard-normal candidate-1 substitute",1.58594508278926
1997,"Standard-normal candidate-2 substitute",-0.82765822503287
1998,"Standard-normal candidate-1 substitute",1.04960237507017
1998,"Standard-normal candidate-2 substitute",-1.00746985718205
1999,"Standard-normal candidate-1 substitute",-1.72621647636045
1999,"Standard-normal candidate-2 substitute",-0.0168067022735998
2000,"Standard-normal candidate-1 substitute",-3.32847487201455
2000,"Standard-normal candidate-2 substitute",1.16694272104285
2001,"Standard-normal candidate-1 substitute",-1.54178938785446
2001,"Standard-normal candidate-2 substitute",1.15568729131516
2002,"Standard-normal candidate-1 substitute",0.794215894722296
2002,"Standard-normal candidate-2 substitute",-1.56044853083045
2003,"Standard-normal candidate-1 substitute",-1.01958712360066
2003,"Standard-normal candidate-2 substitute",-0.316001250096731
2004,"Standard-normal candidate-1 substitute",0.270514835702762
2004,"Standard-normal candidate-2 substitute",-0.269444024241335
2005,"Standard-normal candidate-1 substitute",1.15112520037979
2005,"Standard-normal candidate-2 substitute",-1.02638547871339
2006,"Standard-normal candidate-1 substitute",-1.9847552267035
2006,"Standard-normal candidate-2 substitute",1.95267087803705
2007,"Standard-normal candidate-1 substitute",0.582318625856963
2007,"Standard-normal candidate-2 substitute",0.099054196149587
2008,"Standard-normal candidate-1 substitute",1.07021712847847
2008,"Standard-normal candidate-2 substitute",0.541732477819951
2009,"Standard-normal candidate-1 substitute",-2.16235671407055
2009,"Standard-normal candidate-2 substitute",-0.537000267247544
2010,"Standard-normal candidate-1 substitute",0.22872744612931
2010,"Standard-normal candidate-2 substitute",-0.154114344693684
2011,"Standard-normal candidate-1 substitute",-1.62280710255789
2011,"Standard-normal candidate-2 substitute",-0.198104739961905
2012,"Standard-normal candidate-1 substitute",-0.538289032164042
2012,"Standard-normal candidate-2 substitute",-1.44049394262802
2013,"Standard-normal candidate-1 substitute",-1.083818011604
2013,"Standard-normal candidate-2 substitute",1.35783160795277
2014,"Standard-normal candidate-1 substitute",0.752170307236249
2014,"Standard-normal candidate-2 substitute",-0.912587111113137
2015,"Standard-normal candidate-1 substitute",-0.298500423516693
2015,"Standard-normal candidate-2 substitute",0.704828403924537
2016,"Standard-normal candidate-1 substitute",0.0303042300969882
2016,"Standard-normal candidate-2 substitute",0.0951929884276912
2017,"Standard-normal candidate-1 substitute",-0.552554594780664
2017,"Standard-normal candidate-2 substitute",-0.419149658348347
2018,"Standard-normal candidate-1 substitute",-0.16149288737222
2018,"Standard-normal candidate-2 substitute",-0.849657775548803
2019,"Standard-normal candidate-1 substitute",0.673598834197572
2019,"Standard-normal candidate-2 substitute",-0.873673180574036
2020,"Standard-normal candidate-1 substitute",-1.33282563684735
2020,"Standard-normal candidate-2 substitute",-0.401268339537457
2021,"Standard-normal candidate-1 substitute",-1.99665384122274
2021,"Standard-normal candidate-2 substitute",-0.00804483436351344
2022,"Standard-normal candidate-1 substitute",0.370835914505722
2022,"Standard-normal candidate-2 substitute",-0.61443392041441
2023,"Standard-normal candidate-1 substitute",-0.581754988917388
2023,"Standard-normal candidate-2 substitute",0.369633657683455
2024,"Standard-normal candidate-1 substitute",-0.722125211268831
2024,"Standard-normal candidate-2 substitute",2.11176859040712
2025,"Standard-normal candidate-1 substitute",0.93053297041616
2025,"Standard-normal candidate-2 substitute",NA
2026,"Standard-normal candidate-1 substitute",-0.242396389962416
2026,"Standard-normal candidate-2 substitute",NA
