"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0658401843486494,0.152389944957425,-0.364524476465203,0.232844107767904,"IID","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0450196076462831,0.174064591412899,-0.296146991522998,0.386186206815564,"IID","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0689177819105468,0.152353683397671,-0.367531001369982,0.229695437548888,"Random candidate-1 substitute","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0450194537133128,0.174064585065885,-0.296147133015821,0.386186040442447,"Random candidate-1 substitute","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0313487922035856,0.0841267705323953,-0.19623726244708,0.133539678039909,"Random candidate-1 substitute","Random candidate-1 substitute -> age-1 recruitment","Recruitment effect"
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0658400615666834,0.152389977572913,-0.364524417609593,0.232844294476226,"Random candidate-2 substitute","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0419049257135612,0.174144361147803,-0.299418022136133,0.383227873563255,"Random candidate-2 substitute","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",0.0748038089050176,0.103323626729844,-0.127710499485476,0.277318117295511,"Random candidate-2 substitute","Random candidate-2 substitute -> age-1 recruitment","Recruitment effect"
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.06785939776604,0.152480230004943,-0.366720648575727,0.231001853043647,"Both random substitutes","Random candidate-1 substitute(t-1) -> value(t)","Environmental persistence"
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0424432964667107,0.174146001218268,-0.298882865921094,0.383769458854515,"Both random substitutes","Random candidate-2 substitute(t-1) -> value(t)","Environmental persistence"
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0199844467371534,0.0855508271018303,-0.187664067856741,0.147695174382434,"Both random substitutes","Random candidate-1 substitute -> age-1 recruitment","Recruitment effect"
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",0.0698386304935134,0.105424699817147,-0.136793781148095,0.276471042135122,"Both random substitutes","Random candidate-2 substitute -> age-1 recruitment","Recruitment effect"
