"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0658401843486494,0.152389944957425,-0.364524476465203,0.232844107767904
"iid","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0450196076462831,0.174064591412899,-0.296146991522998,0.386186206815564
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685056906862025,0.0692627620771558,0.5493018931908,0.82081192053325
"iid","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.16728629141376,0.12394758214178,0.924349030415874,1.41022355241165
"iid","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.00975379332568,0.112605340982693,0.789047324999599,1.23046026165175
"candidate1","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0689177819105468,0.152353683397671,-0.367531001369982,0.229695437548888
"candidate1","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0450194537133128,0.174064585065885,-0.296147133015821,0.386186040442447
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.683948849788044,0.0692049901501268,0.548307069093796,0.819590630482293
"candidate1","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0313487922035856,0.0841267705323953,-0.19623726244708,0.133539678039909
"candidate1","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.16712938408047,0.12390073429837,0.924283944855667,1.40997482330528
"candidate1","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.00975374315142,0.112605327202589,0.789047301834342,1.23046018446849
"candidate2","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.0658400615666834,0.152389977572913,-0.364524417609593,0.232844294476226
"candidate2","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0419049257135612,0.174144361147803,-0.299418022136133,0.383227873563255
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.6801671171915,0.0691290404567341,0.544674197896301,0.815660036486699
"candidate2","Candidate2 -> recdevs1",0,"Candidate2_to_R",0.0748038089050176,0.103323626729844,-0.127710499485476,0.277318117295511
"candidate2","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.16728655258478,0.12394765065724,0.924349157296588,1.41022394787297
"candidate2","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.00891044137949,0.112348248601933,0.788707874119702,1.22911300863928
"combined","Candidate1 -> Candidate1",1,"AR_Candidate1",-0.06785939776604,0.152480230004943,-0.366720648575727,0.231001853043647
"combined","Candidate2 -> Candidate2",1,"AR_Candidate2",0.0424432964667107,0.174146001218268,-0.298882865921094,0.383769458854515
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.679857938467017,0.069089479998843,0.544442557669284,0.815273319264749
"combined","Candidate1 -> recdevs1",0,"Candidate1_to_R",-0.0199844467371534,0.0855508271018303,-0.187664067856741,0.147695174382434
"combined","Candidate2 -> recdevs1",0,"Candidate2_to_R",0.0698386304935134,0.105424699817147,-0.136793781148095,0.276471042135122
"combined","Candidate1 <-> Candidate1",0,"V[Candidate1]",1.16722206770459,0.123928384059989,0.924322434947015,1.41012170046217
"combined","Candidate2 <-> Candidate2",0,"V[Candidate2]",1.00901684775738,0.112381619376715,0.788748873779015,1.22928482173574
