"Year","Covariate","Value"
1978,"Cold-pool extent (km2)",NA
1978,"Age-0 late-summer SST (degrees C)",NA
1979,"Cold-pool extent (km2)",NA
1979,"Age-0 late-summer SST (degrees C)",NA
1980,"Cold-pool extent (km2)",NA
1980,"Age-0 late-summer SST (degrees C)",NA
1981,"Cold-pool extent (km2)",NA
1981,"Age-0 late-summer SST (degrees C)",NA
1982,"Cold-pool extent (km2)",211325
1982,"Age-0 late-summer SST (degrees C)",NA
1983,"Cold-pool extent (km2)",161775
1983,"Age-0 late-summer SST (degrees C)",5.59217674418414
1984,"Cold-pool extent (km2)",207725
1984,"Age-0 late-summer SST (degrees C)",8.59772491148112
1985,"Cold-pool extent (km2)",205000
1985,"Age-0 late-summer SST (degrees C)",7.26418169663384
1986,"Cold-pool extent (km2)",258075
1986,"Age-0 late-summer SST (degrees C)",6.6107463720772
1987,"Cold-pool extent (km2)",94750
1987,"Age-0 late-summer SST (degrees C)",5.71948106561554
1988,"Cold-pool extent (km2)",206075
1988,"Age-0 late-summer SST (degrees C)",6.84831194573559
1989,"Cold-pool extent (km2)",106125
1989,"Age-0 late-summer SST (degrees C)",6.64605514486437
1990,"Cold-pool extent (km2)",177750
1990,"Age-0 late-summer SST (degrees C)",6.78965749722714
1991,"Cold-pool extent (km2)",174575
1991,"Age-0 late-summer SST (degrees C)",7.17275454835107
1992,"Cold-pool extent (km2)",242175
1992,"Age-0 late-summer SST (degrees C)",7.85496427127238
1993,"Cold-pool extent (km2)",133525
1993,"Age-0 late-summer SST (degrees C)",6.89286237265023
1994,"Cold-pool extent (km2)",260150
1994,"Age-0 late-summer SST (degrees C)",7.14481785538133
1995,"Cold-pool extent (km2)",274575
1995,"Age-0 late-summer SST (degrees C)",5.61075879695062
1996,"Cold-pool extent (km2)",99425
1996,"Age-0 late-summer SST (degrees C)",6.09290199385411
1997,"Cold-pool extent (km2)",173275
1997,"Age-0 late-summer SST (degrees C)",6.68503817374495
1998,"Cold-pool extent (km2)",100700
1998,"Age-0 late-summer SST (degrees C)",7.90259354905394
1999,"Cold-pool extent (km2)",386100
1999,"Age-0 late-summer SST (degrees C)",7.50673286494741
2000,"Cold-pool extent (km2)",237150
2000,"Age-0 late-summer SST (degrees C)",3.88349400916652
2001,"Cold-pool extent (km2)",175675
2001,"Age-0 late-summer SST (degrees C)",6.23008282238501
2002,"Cold-pool extent (km2)",101725
2002,"Age-0 late-summer SST (degrees C)",5.85610309716946
2003,"Cold-pool extent (km2)",47000
2003,"Age-0 late-summer SST (degrees C)",6.91902753178994
2004,"Cold-pool extent (km2)",89600
2004,"Age-0 late-summer SST (degrees C)",7.8332846096784
2005,"Cold-pool extent (km2)",85825
2005,"Age-0 late-summer SST (degrees C)",8.43344266141031
2006,"Cold-pool extent (km2)",244525
2006,"Age-0 late-summer SST (degrees C)",7.19534005419278
2007,"Cold-pool extent (km2)",281250
2007,"Age-0 late-summer SST (degrees C)",5.63073102584817
2008,"Cold-pool extent (km2)",345425
2008,"Age-0 late-summer SST (degrees C)",6.46388988216186
2009,"Cold-pool extent (km2)",320225
2009,"Age-0 late-summer SST (degrees C)",4.27960217308097
2010,"Cold-pool extent (km2)",269300
2010,"Age-0 late-summer SST (degrees C)",4.67482386510713
2011,"Cold-pool extent (km2)",168025
2011,"Age-0 late-summer SST (degrees C)",5.32083603544863
2012,"Cold-pool extent (km2)",369000
2012,"Age-0 late-summer SST (degrees C)",5.0640660893453
2013,"Cold-pool extent (km2)",258575
2013,"Age-0 late-summer SST (degrees C)",5.05156490319565
2014,"Cold-pool extent (km2)",128200
2014,"Age-0 late-summer SST (degrees C)",6.38403320992902
2015,"Cold-pool extent (km2)",122750
2015,"Age-0 late-summer SST (degrees C)",8.21157407221616
2016,"Cold-pool extent (km2)",89375
2016,"Age-0 late-summer SST (degrees C)",7.17236861451216
2017,"Cold-pool extent (km2)",169275
2017,"Age-0 late-summer SST (degrees C)",9.54553413038223
2018,"Cold-pool extent (km2)",6175
2018,"Age-0 late-summer SST (degrees C)",7.95794898509641
2019,"Cold-pool extent (km2)",26700
2019,"Age-0 late-summer SST (degrees C)",7.58424912667429
2020,"Cold-pool extent (km2)",NA
2020,"Age-0 late-summer SST (degrees C)",9.21895726840862
2021,"Cold-pool extent (km2)",59250
2021,"Age-0 late-summer SST (degrees C)",NA
2022,"Cold-pool extent (km2)",178725
2022,"Age-0 late-summer SST (degrees C)",7.21251588206608
2023,"Cold-pool extent (km2)",179700
2023,"Age-0 late-summer SST (degrees C)",7.46191647762413
2024,"Cold-pool extent (km2)",156950
2024,"Age-0 late-summer SST (degrees C)",6.33574762216498
2025,"Cold-pool extent (km2)",113525
2025,"Age-0 late-summer SST (degrees C)",5.83137295011428
2026,"Cold-pool extent (km2)",NA
2026,"Age-0 late-summer SST (degrees C)",6.07566695067569
