"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","ColdPool -> ColdPool",1,"AR_ColdPool",0.379908142156285,0.148472517063425,0.0889020087119722,0.670914275600597,"IID","Cold pool(t-1) -> cold pool(t)","Environmental persistence"
"iid","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.434505652557479,0.14341349896342,0.153415194589176,0.715596110525782,"IID","Age-0 late-summer SST(t-1) -> SST(t)","Environmental persistence"
"cold_pool","ColdPool -> ColdPool",1,"AR_ColdPool",0.381403528370802,0.148970395292285,0.0894215535979238,0.67338550314368,"Cold pool","Cold pool(t-1) -> cold pool(t)","Environmental persistence"
"cold_pool","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.434505935261928,0.143413418017,0.153415635948608,0.715596234575248,"Cold pool","Age-0 late-summer SST(t-1) -> SST(t)","Environmental persistence"
"cold_pool","ColdPool -> recdevs1",0,"ColdPool_to_R",0.0409407760167692,0.107235784904677,-0.169241362396397,0.251122914429935,"Cold pool","Cold pool -> age-1 recruitment","Recruitment effect"
"late_summer_sst","ColdPool -> ColdPool",1,"AR_ColdPool",0.379908461752786,0.148472524367449,0.0889023139925867,0.670914609512985,"Age-0 late-summer SST","Cold pool(t-1) -> cold pool(t)","Environmental persistence"
"late_summer_sst","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.478025223141388,0.160684689999939,0.163083230741508,0.792967215541268,"Age-0 late-summer SST","Age-0 late-summer SST(t-1) -> SST(t)","Environmental persistence"
"late_summer_sst","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",-0.221648446945578,0.104235585293123,-0.425950194120099,-0.0173466997710569,"Age-0 late-summer SST","Age-0 late-summer SST -> age-1 recruitment","Recruitment effect"
"combined","ColdPool -> ColdPool",1,"AR_ColdPool",0.384042296727358,0.148256127355694,0.0934602871101968,0.674624306344518,"Cold pool + age-0 late-summer SST","Cold pool(t-1) -> cold pool(t)","Environmental persistence"
"combined","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.493338097708506,0.17321866400546,0.153829516257805,0.832846679159207,"Cold pool + age-0 late-summer SST","Age-0 late-summer SST(t-1) -> SST(t)","Environmental persistence"
"combined","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.0691495081001368,0.113541742809092,-0.291691324005956,0.153392307805683,"Cold pool + age-0 late-summer SST","Cold pool -> age-1 recruitment","Recruitment effect"
"combined","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",-0.254059438632198,0.117576166218671,-0.484508724420792,-0.0236101528436031,"Cold pool + age-0 late-summer SST","Age-0 late-summer SST -> age-1 recruitment","Recruitment effect"
