"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","ColdPool -> ColdPool",1,"AR_ColdPool",0.379908142156285,0.148472517063425,0.0889020087119722,0.670914275600597
"iid","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.434505652557479,0.14341349896342,0.153415194589176,0.715596110525782
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685057091920026,0.0692628014749185,0.549302001029186,0.820812182810866
"iid","ColdPool <-> ColdPool",0,"V[ColdPool]",0.919450294925819,0.101784350110187,0.719952968709852,1.11894762114179
"iid","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.900203760797316,0.100967591867309,0.70230728073739,1.09810024085724
"cold_pool","ColdPool -> ColdPool",1,"AR_ColdPool",0.381403528370802,0.148970395292285,0.0894215535979238,0.67338550314368
"cold_pool","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.434505935261928,0.143413418017,0.153415635948608,0.715596234575248
"cold_pool","recdevs1 <-> recdevs1",0,"sigmaR1",0.683931471587889,0.0691993224380709,0.54830079960927,0.819562143566508
"cold_pool","ColdPool -> recdevs1",0,"ColdPool_to_R",0.0409407760167692,0.107235784904677,-0.169241362396397,0.251122914429935
"cold_pool","ColdPool <-> ColdPool",0,"V[ColdPool]",0.919345870510449,0.10176546717543,0.719885554846605,1.11880618617429
"cold_pool","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.900203271572164,0.100967458198263,0.702307053503569,1.09809948964076
"late_summer_sst","ColdPool -> ColdPool",1,"AR_ColdPool",0.379908461752786,0.148472524367449,0.0889023139925867,0.670914609512985
"late_summer_sst","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.478025223141388,0.160684689999939,0.163083230741508,0.792967215541268
"late_summer_sst","recdevs1 <-> recdevs1",0,"sigmaR1",0.648140279391058,0.067942651858866,0.514972681747681,0.781307877034436
"late_summer_sst","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",-0.221648446945578,0.104235585293123,-0.425950194120099,-0.0173466997710569
"late_summer_sst","ColdPool <-> ColdPool",0,"V[ColdPool]",0.919450460293621,0.101784395135003,0.719953045829014,1.11894787475823
"late_summer_sst","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.901860177868945,0.101732520829218,0.702464437043679,1.10125591869421
"combined","ColdPool -> ColdPool",1,"AR_ColdPool",0.384042296727358,0.148256127355694,0.0934602871101968,0.674624306344518
"combined","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.493338097708506,0.17321866400546,0.153829516257805,0.832846679159207
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.642612896537703,0.0683091107199088,0.508727039526682,0.776498753548724
"combined","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.0691495081001368,0.113541742809092,-0.291691324005956,0.153392307805683
"combined","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",-0.254059438632198,0.117576166218671,-0.484508724420792,-0.0236101528436031
"combined","ColdPool <-> ColdPool",0,"V[ColdPool]",0.919371801559602,0.101754440213616,0.719933098740915,1.11881050437829
"combined","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.903175410215405,0.102686382193764,0.701910101115629,1.10444071931518
