"Year","ColdPool","LateSummerSST"
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,NA,NA
1981,NA,NA
1982,1.4861803970363,NA
1983,-0.843439971577478,-0.581754988917388
1984,-0.367241349571629,-0.722125211268831
1985,-1.74666969605077,0.93053297041616
1986,-1.13739152005818,-0.242396389962416
1987,0.726715001461908,0.358799588819246
1988,1.79158721994553,0.792579229078705
1989,-0.603586408528535,1.78200891719713
1990,0.574417181700094,-0.128300446636516
1991,-1.04277521121186,-1.51426353221189
1992,0.338656089442668,-1.126034751462
1993,0.0532874168540237,-0.221880515284849
1994,-1.55511464954944,-0.136344994186404
1995,-0.848715336227317,-3.07743175202297
1996,0.779294904106119,-0.549555903375021
1997,-2.39163195682808,-0.362976256748063
1998,-1.04648793738459,-0.890680328927162
1999,1.58594508278926,0.636709221899633
2000,1.04960237507017,-0.82765822503287
2001,-1.72621647636045,-1.00746985718205
2002,-3.32847487201455,-0.0168067022735998
2003,-1.54178938785446,1.16694272104285
2004,0.794215894722296,1.15568729131516
2005,-1.01958712360066,-1.56044853083045
2006,0.270514835702762,-0.316001250096731
2007,1.15112520037979,-0.269444024241335
2008,-1.9847552267035,-1.02638547871339
2009,0.582318625856963,1.95267087803705
2010,1.07021712847847,0.099054196149587
2011,-2.16235671407055,0.541732477819951
2012,0.22872744612931,-0.537000267247544
2013,-1.62280710255789,-0.154114344693684
2014,-0.538289032164042,-0.198104739961905
2015,-1.083818011604,-1.44049394262802
2016,0.752170307236249,1.35783160795277
2017,-0.298500423516693,-0.912587111113137
2018,0.0303042300969882,0.704828403924537
2019,-0.552554594780664,0.0951929884276912
2020,NA,-0.419149658348347
2021,-0.16149288737222,NA
2022,0.673598834197572,-0.849657775548803
2023,-1.33282563684735,-0.873673180574036
2024,-1.99665384122274,-0.401268339537457
