"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","model_label","edge","edge_type"
"iid","ColdPool -> ColdPool",1,"AR_ColdPool",-0.04446162548366,0.159119677033127,-0.356336192468588,0.267412941501268,"IID","Random cold-pool substitute(t-1) -> value(t)","Environmental persistence"
"iid","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",-0.00018270732208566,0.15593939377529,-0.305823919121655,0.305458504477483,"IID","Random SST substitute(t-1) -> value(t)","Environmental persistence"
"cold_pool","ColdPool -> ColdPool",1,"AR_ColdPool",-0.047073848544896,0.15836737338548,-0.357473900380437,0.263326203290645,"Random cold-pool substitute","Random cold-pool substitute(t-1) -> value(t)","Environmental persistence"
"cold_pool","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",-0.000182706929042956,0.155939407075936,-0.305823944797877,0.305458530939791,"Random cold-pool substitute","Random SST substitute(t-1) -> value(t)","Environmental persistence"
"cold_pool","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.0824625671907522,0.0831795704353632,-0.245494525244064,0.0805693908625597,"Random cold-pool substitute","Random cold-pool substitute -> age-1 recruitment","Recruitment effect"
"late_summer_sst","ColdPool -> ColdPool",1,"AR_ColdPool",-0.0444615518094127,0.159119721179485,-0.356336205321204,0.267413101702378,"Random SST substitute","Random cold-pool substitute(t-1) -> value(t)","Environmental persistence"
"late_summer_sst","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",2.4257303111185e-05,0.155938683139648,-0.3056155616506,0.305664076256822,"Random SST substitute","Random SST substitute(t-1) -> value(t)","Environmental persistence"
"late_summer_sst","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",0.0100726889149446,0.105316349378078,-0.196347355866089,0.216492733695978,"Random SST substitute","Random SST substitute -> age-1 recruitment","Recruitment effect"
"combined","ColdPool -> ColdPool",1,"AR_ColdPool",-0.0470583419507866,0.15831655074911,-0.357358781419042,0.263242097517469,"Both random substitutes","Random cold-pool substitute(t-1) -> value(t)","Environmental persistence"
"combined","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.000480161586647456,0.155908390150451,-0.305100283108236,0.306060606281531,"Both random substitutes","Random SST substitute(t-1) -> value(t)","Environmental persistence"
"combined","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.086889742370402,0.0845701787456528,-0.252647292711882,0.0788678079710775,"Both random substitutes","Random cold-pool substitute -> age-1 recruitment","Recruitment effect"
"combined","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",0.0300669943514444,0.106060102544352,-0.177810806635485,0.237944795338374,"Both random substitutes","Random SST substitute -> age-1 recruitment","Recruitment effect"
