"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95"
"iid","ColdPool -> ColdPool",1,"AR_ColdPool",-0.04446162548366,0.159119677033127,-0.356336192468588,0.267412941501268
"iid","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",-0.00018270732208566,0.15593939377529,-0.305823919121655,0.305458504477483
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.68505599575546,0.0692625958939896,0.54930130780324,0.820810683707679
"iid","ColdPool <-> ColdPool",0,"V[ColdPool]",1.20273918948608,0.13213809112977,0.943748530871731,1.46172984810043
"iid","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.959884775523167,0.107151725512436,0.749867393518792,1.16990215752754
"cold_pool","ColdPool -> ColdPool",1,"AR_ColdPool",-0.047073848544896,0.15836737338548,-0.357473900380437,0.263326203290645
"cold_pool","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",-0.000182706929042956,0.155939407075936,-0.305823944797877,0.305458530939791
"cold_pool","recdevs1 <-> recdevs1",0,"sigmaR1",0.676993902547303,0.0688832644868845,0.54198270415301,0.812005100941597
"cold_pool","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.0824625671907522,0.0831795704353632,-0.245494525244064,0.0805693908625597
"cold_pool","ColdPool <-> ColdPool",0,"V[ColdPool]",1.20096640272009,0.131607740921348,0.943015230514244,1.45891757492593
"cold_pool","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.959884865440396,0.107151750174981,0.749867435097434,1.16990229578336
"late_summer_sst","ColdPool -> ColdPool",1,"AR_ColdPool",-0.0444615518094127,0.159119721179485,-0.356336205321204,0.267413101702378
"late_summer_sst","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",2.4257303111185e-05,0.155938683139648,-0.3056155616506,0.305664076256822
"late_summer_sst","recdevs1 <-> recdevs1",0,"sigmaR1",0.684995601991373,0.0692580687336498,0.549249787273419,0.820741416709327
"late_summer_sst","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",0.0100726889149446,0.105316349378078,-0.196347355866089,0.216492733695978
"late_summer_sst","ColdPool <-> ColdPool",0,"V[ColdPool]",1.20273954905081,0.132138188804096,0.943748698994785,1.46173039910684
"late_summer_sst","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.959871610109921,0.107147735275096,0.749862048970732,1.16988117124911
"combined","ColdPool -> ColdPool",1,"AR_ColdPool",-0.0470583419507866,0.15831655074911,-0.357358781419042,0.263242097517469
"combined","LateSummerSST -> LateSummerSST",1,"AR_LateSummerSST",0.000480161586647456,0.155908390150451,-0.305100283108236,0.306060606281531
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.676242957308963,0.0688695929756911,0.541258555076608,0.811227359541317
"combined","ColdPool -> recdevs1",0,"ColdPool_to_R",-0.086889742370402,0.0845701787456528,-0.252647292711882,0.0788678079710775
"combined","LateSummerSST -> recdevs1",0,"LateSummerSST_to_R",0.0300669943514444,0.106060102544352,-0.177810806635485,0.237944795338374
"combined","ColdPool <-> ColdPool",0,"V[ColdPool]",1.20077432759906,0.131552349258948,0.942931723051521,1.4586169321466
"combined","LateSummerSST <-> LateSummerSST",0,"V[LateSummerSST]",0.959762870726098,0.107114974641677,0.749817520428411,1.16970822102378
