"Year","Recruitment","model"
1964,7658.97937852879,"IID"
1965,25885.5201281758,"IID"
1966,17754.849148628,"IID"
1967,28781.9773703723,"IID"
1968,23420.8709782191,"IID"
1969,26432.5216729316,"IID"
1970,23042.7780994541,"IID"
1971,13967.8741476368,"IID"
1972,11239.2882300154,"IID"
1973,24932.7171430736,"IID"
1974,18133.7961478133,"IID"
1975,15620.5696321435,"IID"
1976,12544.3133083801,"IID"
1977,13599.6492782012,"IID"
1978,25852.4322662713,"IID"
1979,61468.7081606249,"IID"
1980,29432.2207278368,"IID"
1981,33563.1421239882,"IID"
1982,18871.2811268497,"IID"
1983,51739.5501306235,"IID"
1984,14292.5462346747,"IID"
1985,32627.4676847848,"IID"
1986,12738.6817147309,"IID"
1987,7326.19635953325,"IID"
1988,5699.32436829577,"IID"
1989,11814.7791191294,"IID"
1990,50177.3756183241,"IID"
1991,27168.9888922906,"IID"
1992,23501.3844316311,"IID"
1993,45852.4481822161,"IID"
1994,15832.0632827874,"IID"
1995,11120.0720237696,"IID"
1996,22563.944157729,"IID"
1997,30207.2775026663,"IID"
1998,14879.3005694082,"IID"
1999,16130.2224445013,"IID"
2000,24662.408373076,"IID"
2001,34441.1215334256,"IID"
2002,23035.3217151468,"IID"
2003,14425.7071611093,"IID"
2004,6602.45453013125,"IID"
2005,4696.05268709983,"IID"
2006,11615.3296731946,"IID"
2007,25035.0355571641,"IID"
2008,13603.4526884707,"IID"
2009,49641.6803016568,"IID"
2010,23218.0855755251,"IID"
2011,14259.3039893608,"IID"
2012,12330.3820155889,"IID"
2013,43463.5743363722,"IID"
2014,49669.609491715,"IID"
2015,21291.5332142402,"IID"
2016,8156.09127687341,"IID"
2017,8248.54788552598,"IID"
2018,17093.1840755149,"IID"
2019,83104.356495198,"IID"
2020,20774.5782706424,"IID"
2021,11096.6123129421,"IID"
2022,11004.8045801699,"IID"
2023,14997.6160458192,"IID"
2024,16747.1793255205,"IID"
1964,7680.06336627968,"Random cold-pool substitute"
1965,25947.0525839587,"Random cold-pool substitute"
1966,17787.826485864,"Random cold-pool substitute"
1967,28826.5290980427,"Random cold-pool substitute"
1968,23442.1574022341,"Random cold-pool substitute"
1969,26444.1952427353,"Random cold-pool substitute"
1970,23044.0839927712,"Random cold-pool substitute"
1971,13967.6360345594,"Random cold-pool substitute"
1972,11235.3226333551,"Random cold-pool substitute"
1973,24905.2959293406,"Random cold-pool substitute"
1974,18115.6571363174,"Random cold-pool substitute"
1975,15608.1429501413,"Random cold-pool substitute"
1976,12538.1380928611,"Random cold-pool substitute"
1977,13595.0020988991,"Random cold-pool substitute"
1978,25847.312521411,"Random cold-pool substitute"
1979,61460.3700820922,"Random cold-pool substitute"
1980,29424.8299330046,"Random cold-pool substitute"
1981,33554.6533472028,"Random cold-pool substitute"
1982,18793.9776956218,"Random cold-pool substitute"
1983,51742.2574374527,"Random cold-pool substitute"
1984,14296.2078169243,"Random cold-pool substitute"
1985,32667.9712173703,"Random cold-pool substitute"
1986,12758.3534886306,"Random cold-pool substitute"
1987,7312.52583685857,"Random cold-pool substitute"
1988,5674.98161053294,"Random cold-pool substitute"
1989,11816.8129410015,"Random cold-pool substitute"
1990,50161.5653109701,"Random cold-pool substitute"
1991,27174.0290865328,"Random cold-pool substitute"
1992,23491.5674114895,"Random cold-pool substitute"
1993,45845.1608841711,"Random cold-pool substitute"
1994,15845.1434993791,"Random cold-pool substitute"
1995,11125.9633815593,"Random cold-pool substitute"
1996,22554.9626201506,"Random cold-pool substitute"
1997,30221.0785813149,"Random cold-pool substitute"
1998,14883.8187189123,"Random cold-pool substitute"
1999,16116.6601077241,"Random cold-pool substitute"
2000,24652.4554741777,"Random cold-pool substitute"
2001,34449.4321840103,"Random cold-pool substitute"
2002,23052.8871745278,"Random cold-pool substitute"
2003,14433.4648990852,"Random cold-pool substitute"
2004,6599.77346611592,"Random cold-pool substitute"
2005,4700.4775996259,"Random cold-pool substitute"
2006,11612.2345130761,"Random cold-pool substitute"
2007,25024.6146604195,"Random cold-pool substitute"
2008,13614.2762409144,"Random cold-pool substitute"
2009,49631.0977900013,"Random cold-pool substitute"
2010,23206.4119687918,"Random cold-pool substitute"
2011,14272.7074682643,"Random cold-pool substitute"
2012,12327.5289896079,"Random cold-pool substitute"
2013,43470.3218279213,"Random cold-pool substitute"
2014,49665.8939704497,"Random cold-pool substitute"
2015,21293.5988104344,"Random cold-pool substitute"
2016,8142.62290411126,"Random cold-pool substitute"
2017,8244.22785811956,"Random cold-pool substitute"
2018,17070.9899178504,"Random cold-pool substitute"
2019,83025.6558710531,"Random cold-pool substitute"
2020,20763.1476524025,"Random cold-pool substitute"
2021,11092.1522028576,"Random cold-pool substitute"
2022,10952.4149526123,"Random cold-pool substitute"
2023,15271.9730404658,"Random cold-pool substitute"
2024,18341.0606169496,"Random cold-pool substitute"
1964,7658.80070522523,"Random SST substitute"
1965,25885.5556509863,"Random SST substitute"
1966,17754.7651581436,"Random SST substitute"
1967,28782.1099518514,"Random SST substitute"
1968,23420.9247972897,"Random SST substitute"
1969,26432.6515304211,"Random SST substitute"
1970,23042.844839166,"Random SST substitute"
1971,13967.7811727725,"Random SST substitute"
1972,11239.1715081889,"Random SST substitute"
1973,24932.8020516008,"Random SST substitute"
1974,18133.8243841554,"Random SST substitute"
1975,15620.598261658,"Random SST substitute"
1976,12544.3239405518,"Random SST substitute"
1977,13599.6458291041,"Random SST substitute"
1978,25852.3919932796,"Random SST substitute"
1979,61468.1006117907,"Random SST substitute"
1980,29431.6662383314,"Random SST substitute"
1981,33562.3873273491,"Random SST substitute"
1982,18870.8751542169,"Random SST substitute"
1983,51737.1166057968,"Random SST substitute"
1984,14290.7117285535,"Random SST substitute"
1985,32631.6793680777,"Random SST substitute"
1986,12739.0981681865,"Random SST substitute"
1987,7327.6235550148,"Random SST substitute"
1988,5701.1370248794,"Random SST substitute"
1989,11817.9044473883,"Random SST substitute"
1990,50178.0064815954,"Random SST substitute"
1991,27167.1722024873,"Random SST substitute"
1992,23499.9196361224,"Random SST substitute"
1993,45851.9984114291,"Random SST substitute"
1994,15831.9499735816,"Random SST substitute"
1995,11116.8581045468,"Random SST substitute"
1996,22563.3899910084,"Random SST substitute"
1997,30206.9690837017,"Random SST substitute"
1998,14878.7157425933,"Random SST substitute"
1999,16130.9058290782,"Random SST substitute"
2000,24662.0527697878,"Random SST substitute"
2001,34440.8074748664,"Random SST substitute"
2002,23035.7538890131,"Random SST substitute"
2003,14426.6997178993,"Random SST substitute"
2004,6603.25051991396,"Random SST substitute"
2005,4695.45177493868,"Random SST substitute"
2006,11615.268178584,"Random SST substitute"
2007,25034.9225055295,"Random SST substitute"
2008,13602.9022304498,"Random SST substitute"
2009,49644.3079407612,"Random SST substitute"
2010,23218.8131332307,"Random SST substitute"
2011,14260.2150992813,"Random SST substitute"
2012,12330.3332259327,"Random SST substitute"
2013,43464.1116823836,"Random SST substitute"
2014,49670.3944557553,"Random SST substitute"
2015,21290.886578313,"Random SST substitute"
2016,8158.58995235277,"Random SST substitute"
2017,8248.16903838503,"Random SST substitute"
2018,17095.9060319472,"Random SST substitute"
2019,83104.4459932027,"Random SST substitute"
2020,20770.2742644138,"Random SST substitute"
2021,11092.5188846121,"Random SST substitute"
2022,10991.9703743874,"Random SST substitute"
2023,14974.9190785584,"Random SST substitute"
2024,16717.4570418567,"Random SST substitute"
1964,7676.06462239311,"Both random substitutes"
1965,25952.4967750798,"Both random substitutes"
1966,17788.2989416933,"Both random substitutes"
1967,28832.4553163573,"Both random substitutes"
1968,23444.6321755938,"Both random substitutes"
1969,26447.411492723,"Both random substitutes"
1970,23045.385598546,"Both random substitutes"
1971,13965.0722060796,"Both random substitutes"
1972,11231.755774965,"Both random substitutes"
1973,24905.5889207906,"Both random substitutes"
1974,18114.7379577208,"Both random substitutes"
1975,15607.2543145493,"Both random substitutes"
1976,12537.2725733736,"Both random substitutes"
1977,13594.3864596316,"Both random substitutes"
1978,25847.3505014089,"Both random substitutes"
1979,61459.5577619684,"Both random substitutes"
1980,29423.3260985998,"Both random substitutes"
1981,33552.6002171597,"Both random substitutes"
1982,18788.522748764,"Both random substitutes"
1983,51734.5521808309,"Both random substitutes"
1984,14290.714080039,"Both random substitutes"
1985,32682.8126303556,"Both random substitutes"
1986,12760.6839192833,"Both random substitutes"
1987,7316.15902784966,"Both random substitutes"
1988,5679.21367048385,"Both random substitutes"
1989,11826.5024908929,"Both random substitutes"
1990,50162.527285284,"Both random substitutes"
1991,27168.6995085663,"Both random substitutes"
1992,23486.492183657,"Both random substitutes"
1993,45843.2889279787,"Both random substitutes"
1994,15845.5166833521,"Both random substitutes"
1995,11116.4606968204,"Both random substitutes"
1996,22552.7374724984,"Both random substitutes"
1997,30220.8742850298,"Both random substitutes"
1998,14882.2757849184,"Both random substitutes"
1999,16117.984161145,"Both random substitutes"
2000,24650.7845778278,"Both random substitutes"
2001,34448.9010262026,"Both random substitutes"
2002,23055.1778700072,"Both random substitutes"
2003,14436.9413747044,"Both random substitutes"
2004,6602.07999736558,"Both random substitutes"
2005,4698.91015799572,"Both random substitutes"
2006,11611.8808083723,"Both random substitutes"
2007,25023.6707855311,"Both random substitutes"
2008,13613.1907385335,"Both random substitutes"
2009,49638.4684157911,"Both random substitutes"
2010,23207.9508269504,"Both random substitutes"
2011,14276.2383129082,"Both random substitutes"
2012,12327.2154399143,"Both random substitutes"
2013,43472.2748109896,"Both random substitutes"
2014,49667.9892654175,"Both random substitutes"
2015,21291.6927060452,"Both random substitutes"
2016,8149.52470381229,"Both random substitutes"
2017,8242.83573523253,"Both random substitutes"
2018,17077.952831928,"Both random substitutes"
2019,83020.6607979137,"Both random substitutes"
2020,20749.2385969383,"Both random substitutes"
2021,11079.0518005884,"Both random substitutes"
2022,10910.5832217087,"Both random substitutes"
2023,15217.0428575225,"Both random substitutes"
2024,18333.0954513847,"Both random substitutes"
