scenario,seed,pooled,prior_scale,rw_scale,objective,evaluated_total,objective_report_gap,convergence,message,max_gradient,at_bound,hessian_ok,min_hessian_eigen,finite_se,seconds
original_reproduction,NA,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.18118766099,8299.181187660994,-3.637978807091713e-12,1,false convergence (8),1.8366274760961572,0,FALSE,-1325.3756509257985,FALSE,0.7674229145050049
pooled_original,NA,TRUE,0.75/0.75/0.45,0.6/0.6/0.4,9101.716141824138,9101.716141824141,-3.637978807091713e-12,0,relative convergence (4),5.125295729833113e-4,0,FALSE,-1.6773849717366808e-16,FALSE,1.4370830059051514
common_start_original,NA,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.018712324461,8299.018712324463,-1.8189894035458565e-12,1,false convergence (8),1.7937444943193332,0,FALSE,-1332.8195409614668,FALSE,0.9465150833129883
proposed_prior,NA,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.522766185935,8383.522766185935,0,1,false convergence (8),14.55242472375938,0,FALSE,-1612.7821508420702,FALSE,0.6426739692687988
prior_multiplier_0p75,NA,FALSE,0.375/0.375/0.2625,0.1875/0.1875/0.15,8453.78923901264,8453.789239012644,-3.637978807091713e-12,1,false convergence (8),15.011301055876821,0,FALSE,-2008.767942013165,FALSE,0.7928102016448975
prior_multiplier_1p25,NA,FALSE,0.625/0.625/0.4375,0.3125/0.3125/0.25,8338.64093037987,8338.64093037987,0,1,false convergence (8),2.764479979244946,0,FALSE,-1305.690430049572,FALSE,0.5731329917907715
prior_multiplier_1p50,NA,FALSE,0.75/0.75/0.525,0.375/0.375/0.3,8306.005300358196,8306.005300358196,0,1,false convergence (8),4.964478699943783,0,FALSE,-864.7644455109546,FALSE,0.9360208511352539
multistart_original_01,1,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.492864804452,8299.492864804448,3.637978807091713e-12,1,false convergence (8),2.16126945124533,0,FALSE,-1286.708181558671,FALSE,0.5622851848602295
multistart_original_02,2,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.008139652144,8299.008139652144,0,1,false convergence (8),1.9079957461912747,0,FALSE,-1318.2771488549556,FALSE,1.2232389450073242
multistart_original_03,3,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8298.028050849087,8298.02805084909,-3.637978807091713e-12,1,false convergence (8),5.620325121213614,0,FALSE,-1011.9881154311449,FALSE,0.9345078468322754
multistart_original_04,4,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.394550805795,8299.394550805795,0,1,false convergence (8),1.9611770106435253,0,FALSE,-1301.6846274570305,FALSE,0.5920529365539551
multistart_original_05,5,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.010749788533,8299.010749788533,0,1,false convergence (8),1.9093374350399932,0,FALSE,-1320.8467898543106,FALSE,0.7917978763580322
multistart_original_06,6,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.00920022023,8299.00920022023,0,1,false convergence (8),12.858113611337455,0,FALSE,-1314.4440573558793,FALSE,1.047778844833374
multistart_original_07,7,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.01622922899,8299.016229228993,-3.637978807091713e-12,1,false convergence (8),1.8157970884988655,0,FALSE,-1330.2057029024052,FALSE,0.9907538890838623
multistart_original_08,8,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.007336344659,8299.007336344657,1.8189894035458565e-12,1,false convergence (8),1.9204710195825658,0,FALSE,-1328.6873513819573,FALSE,1.1721839904785156
multistart_original_09,9,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.345577837687,8299.345577837687,0,1,false convergence (8),1.8784925811081443,0,FALSE,-1300.7216693070768,FALSE,0.6615960597991943
multistart_original_10,10,FALSE,0.75/0.75/0.45,0.6/0.6/0.4,8299.347133427655,8299.347133427655,0,1,false convergence (8),2.0539300650454257,0,FALSE,-1306.7789398590867,FALSE,0.6492741107940674
multistart_proposed_01,1,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.714110813247,8383.714110813251,-3.637978807091713e-12,1,false convergence (8),6.807242012577379,0,FALSE,-1577.193444503058,FALSE,0.5412740707397461
multistart_proposed_02,2,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.317419598528,8383.317419598528,0,1,false convergence (8),6.991941955407588,0,FALSE,-1599.562033205038,FALSE,0.9057779312133789
multistart_proposed_03,3,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.31705232626,8383.31705232626,0,1,false convergence (8),14.645920974651608,0,FALSE,-1604.1934536055085,FALSE,0.845879077911377
multistart_proposed_04,4,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.595403505366,8383.595403505366,0,1,false convergence (8),14.61506635011833,0,FALSE,-1601.1632780723673,FALSE,0.5519201755523682
multistart_proposed_05,5,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.318235914625,8383.318235914632,-7.275957614183426e-12,1,false convergence (8),6.97153200488594,0,FALSE,-1605.9741998205582,FALSE,0.7908620834350586
multistart_proposed_06,6,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.321989558925,8383.32198955893,-5.4569682106375694e-12,1,false convergence (8),14.69547951667035,0,FALSE,-1604.4964124897847,FALSE,0.7794501781463623
multistart_proposed_07,7,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.343342939015,8383.343342939015,0,1,false convergence (8),7.050751752400021,0,FALSE,-1612.2812741050852,FALSE,0.7892181873321533
multistart_proposed_08,8,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.317061883505,8383.317061883505,0,1,false convergence (8),14.65427213003094,0,FALSE,-1606.2283011406807,FALSE,0.8783369064331055
multistart_proposed_09,9,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.669912097224,8383.66991209723,-5.4569682106375694e-12,1,false convergence (8),6.631970926227613,0,FALSE,-1575.9607189845176,FALSE,0.5276811122894287
multistart_proposed_10,10,FALSE,0.5/0.5/0.35,0.25/0.25/0.2,8383.644864439386,8383.64486443939,-3.637978807091713e-12,1,false convergence (8),14.546599322843228,0,FALSE,-1589.80923599326,FALSE,0.5117759704589844
